Boundary	Data 2SVJ_NonClosure	Data 2SVJ_NC_err	Background MC 2SVJ_NonClosure	Background MC 2SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.35016	0.24127	0.01548	0.52706	-0.36564	0.57966
225.86207	-0.34409	0.23990	0.01533	0.52724	-0.35941	0.57926
226.72414	-0.38830	0.23627	0.07802	0.46938	-0.46632	0.52549
227.58621	-0.32929	0.22551	0.08370	0.46677	-0.41299	0.51839
228.44828	-0.35828	0.23041	0.08691	0.46524	-0.44519	0.51917
229.31034	-0.37301	0.23290	0.08403	0.46674	-0.45704	0.52162
230.17241	-0.37301	0.23290	0.08219	0.46772	-0.45520	0.52250
231.03448	-0.34721	0.22202	0.09354	0.38611	-0.44076	0.44539
231.89655	-0.33473	0.21994	0.09008	0.38741	-0.42481	0.44549
232.75862	-0.33858	0.22060	0.09362	0.38587	-0.43220	0.44448
233.62069	-0.35073	0.21175	0.15290	0.34321	-0.50364	0.40328
234.48276	-0.33492	0.20928	0.12147	0.35466	-0.45639	0.41180
235.34483	-0.33542	0.20939	0.12274	0.35413	-0.45815	0.41140
236.20690	-0.30349	0.20435	0.12781	0.35212	-0.43130	0.40712
237.06897	-0.30349	0.20435	0.12625	0.35272	-0.42974	0.40763
237.93103	-0.32043	0.20713	0.12042	0.35488	-0.44084	0.41091
238.79310	-0.33707	0.20983	0.11809	0.35576	-0.45516	0.41303
239.65517	-0.33768	0.21000	0.11477	0.35706	-0.45245	0.41423
240.51724	-0.38720	0.21061	0.15988	0.32967	-0.54708	0.39120
241.37931	-0.35407	0.20556	0.15616	0.33128	-0.51023	0.38988
242.24138	-0.29648	0.20410	0.19305	0.31252	-0.48953	0.37327
243.10345	-0.34437	0.21221	0.15722	0.32485	-0.50159	0.38802
243.96552	-0.33156	0.21021	0.16228	0.32304	-0.49384	0.38541
244.82759	-0.33428	0.21112	0.15145	0.32695	-0.48573	0.38919
245.68966	-0.35011	0.21413	0.14399	0.32967	-0.49410	0.39311
246.55172	-0.38799	0.22096	0.13400	0.33331	-0.52199	0.39990
247.41379	-0.27122	0.19364	0.15391	0.31368	-0.42513	0.36863
248.27586	-0.28128	0.19561	0.15484	0.31373	-0.43611	0.36971
249.13793	-0.23523	0.18953	0.13632	0.32026	-0.37155	0.37214
250.00000	-0.17994	0.18574	0.32512	0.24041	-0.50507	0.30380
