Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.20000	1.71114	0.53344	0.46592	-0.73344	1.77344
225.86207	0.25000	0.94373	0.53344	0.46592	-0.28344	1.05248
226.72414	0.50000	0.61237	0.63607	0.35438	-0.13607	0.70752
227.58621	0.50000	0.61237	0.40458	0.64045	0.09542	0.88610
228.44828	0.50000	0.61237	0.40458	0.64045	0.09542	0.88610
229.31034	0.50000	0.61237	0.40458	0.64045	0.09542	0.88610
230.17241	0.50000	0.61237	0.40458	0.64045	0.09542	0.88610
231.03448	0.80000	0.27325	0.39763	0.62144	0.40237	0.67886
231.89655	0.80000	0.27325	0.39763	0.62144	0.40237	0.67886
232.75862	0.80000	0.27325	0.39763	0.62144	0.40237	0.67886
233.62069	0.80000	0.27325	0.42709	0.56784	0.37291	0.63016
234.48276	0.80000	0.27325	0.42709	0.56784	0.37291	0.63016
235.34483	0.75000	0.30619	0.35993	0.62401	0.39007	0.69508
236.20690	0.75000	0.30619	0.35993	0.62401	0.39007	0.69508
237.06897	0.75000	0.30619	0.35993	0.62401	0.39007	0.69508
237.93103	0.75000	0.30619	0.35993	0.62401	0.39007	0.69508
238.79310	0.75000	0.30619	0.35993	0.62401	0.39007	0.69508
239.65517	0.75000	0.30619	0.22252	0.78771	0.52748	0.84512
240.51724	0.80000	0.24083	0.28162	0.67195	0.51838	0.71380
241.37931	0.80000	0.24083	0.28162	0.67195	0.51838	0.71380
242.24138	nan	nan	0.30985	0.72643	nan	nan
243.10345	nan	nan	0.30985	0.72643	nan	nan
243.96552	nan	nan	0.30985	0.72643	nan	nan
244.82759	nan	nan	0.30985	0.72643	nan	nan
245.68966	nan	nan	0.38428	0.64564	nan	nan
246.55172	0.85000	0.20031	0.44571	0.57976	0.40429	0.61339
247.41379	0.85000	0.20031	0.37695	0.61193	0.47305	0.64388
248.27586	0.85000	0.20031	0.37674	0.61189	0.47326	0.64385
249.13793	0.85000	0.20031	0.37674	0.61189	0.47326	0.64385
250.00000	0.85000	0.20031	0.29610	0.67036	0.55390	0.69965
