Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	nan	nan	0.61834	0.66430	nan	nan
0.32069	nan	nan	0.59936	0.69524	nan	nan
0.34138	nan	nan	0.76707	0.37357	nan	nan
0.36207	nan	nan	0.73380	0.42254	nan	nan
0.38276	nan	nan	0.73380	0.42254	nan	nan
0.40345	nan	nan	0.73678	0.41573	nan	nan
0.42414	nan	nan	-1.22577	3.80998	nan	nan
0.44483	nan	nan	-1.16724	3.71618	nan	nan
0.46552	nan	nan	-1.21460	3.78244	nan	nan
0.48621	nan	nan	-1.21460	3.78244	nan	nan
0.50690	nan	nan	0.94785	0.08273	nan	nan
0.52759	nan	nan	0.94785	0.08273	nan	nan
0.54828	nan	nan	0.95045	0.07930	nan	nan
0.56897	nan	nan	0.95045	0.07930	nan	nan
0.58966	nan	nan	0.94926	0.07486	nan	nan
0.61034	nan	nan	0.89325	0.16869	nan	nan
0.63103	nan	nan	0.88418	0.18009	nan	nan
0.65172	nan	nan	0.82680	0.25796	nan	nan
0.67241	nan	nan	0.82962	0.25678	nan	nan
0.69310	nan	nan	-0.23256	1.72101	nan	nan
0.71379	nan	nan	-0.80720	2.43918	nan	nan
0.73448	nan	nan	-0.51680	2.02804	nan	nan
0.75517	nan	nan	-0.66100	2.19626	nan	nan
0.77586	-1.00000	3.74166	-0.78461	2.33812	-0.21539	4.41212
0.79655	-1.00000	3.74166	-1.35360	2.88074	0.35360	4.72215
0.81724	-1.00000	3.74166	-0.61453	2.13252	-0.38547	4.30670
0.83793	-1.00000	3.74166	-0.70548	2.23379	-0.29452	4.35773
0.85862	-inf	nan	-0.43366	1.82571	-inf	nan
0.87931	-inf	nan	-1.44174	3.06854	-inf	nan
0.90000	-inf	nan	-0.77997	2.07011	-inf	nan
