Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.21376	0.06310	-0.05168	0.08244	-0.16209	0.10382
0.32069	-0.18007	0.06096	-0.01014	0.07765	-0.16993	0.09872
0.34138	-0.15146	0.06088	-0.01152	0.08186	-0.13995	0.10202
0.36207	-0.18356	0.06346	-0.00547	0.08269	-0.17809	0.10423
0.38276	-0.15135	0.06048	-0.00341	0.07857	-0.14794	0.09915
0.40345	-0.11119	0.05810	-0.02869	0.07862	-0.08250	0.09776
0.42414	-0.09872	0.05818	-0.01591	0.07163	-0.08281	0.09228
0.44483	-0.08528	0.05740	-0.02491	0.08256	-0.06038	0.10055
0.46552	-0.07249	0.05571	-0.04005	0.08930	-0.03244	0.10526
0.48621	-0.08303	0.05671	-0.03773	0.09309	-0.04530	0.10901
0.50690	-0.03941	0.05424	-0.02744	0.09243	-0.01197	0.10717
0.52759	-0.02325	0.05256	-0.00539	0.09015	-0.01786	0.10435
0.54828	-0.01333	0.05183	-0.01777	0.09258	0.00444	0.10610
0.56897	-0.00929	0.05183	-0.02045	0.09301	0.01116	0.10648
0.58966	0.00876	0.05090	-0.02334	0.09434	0.03210	0.10720
0.61034	0.00528	0.04915	-0.03901	0.09175	0.04429	0.10409
0.63103	-0.01456	0.05076	-0.02304	0.09132	0.00848	0.10448
0.65172	-0.05343	0.05273	-0.02604	0.08959	-0.02739	0.10396
0.67241	-0.07659	0.05405	-0.03283	0.08963	-0.04376	0.10467
0.69310	-0.03977	0.05080	-0.05040	0.08953	0.01063	0.10294
0.71379	-0.01107	0.04878	-0.05474	0.08313	0.04367	0.09638
0.73448	-0.00861	0.04883	-0.02008	0.07814	0.01147	0.09214
0.75517	0.00418	0.04732	-0.01808	0.07383	0.02226	0.08769
0.77586	0.02985	0.04578	-0.04531	0.07712	0.07516	0.08968
0.79655	0.01009	0.04643	-0.11294	0.08720	0.12303	0.09880
0.81724	0.03425	0.04479	-0.05532	0.08280	0.08957	0.09414
0.83793	0.01969	0.04459	-0.05942	0.08053	0.07911	0.09205
0.85862	0.01715	0.04388	-0.02859	0.08176	0.04574	0.09279
0.87931	-0.00437	0.04387	-0.02526	0.07819	0.02089	0.08966
0.90000	-0.01978	0.03887	-0.02628	0.07479	0.00649	0.08429
