Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.01655	0.03118	-0.00779	0.03939	-0.00876	0.05023
0.32069	0.00432	0.03072	-0.02604	0.04169	0.03035	0.05178
0.34138	0.02113	0.02961	-0.05041	0.04252	0.07154	0.05182
0.36207	0.01732	0.03025	-0.06329	0.04485	0.08061	0.05409
0.38276	0.00360	0.03016	-0.05075	0.04291	0.05435	0.05245
0.40345	-0.00387	0.03056	-0.05731	0.04323	0.05344	0.05294
0.42414	-0.01088	0.03104	-0.06073	0.04406	0.04985	0.05390
0.44483	-0.03116	0.03247	-0.04545	0.04264	0.01429	0.05360
0.46552	-0.03513	0.03226	-0.03270	0.04209	-0.00243	0.05303
0.48621	-0.03724	0.03233	-0.02938	0.04262	-0.00787	0.05350
0.50690	-0.03903	0.03052	-0.03267	0.04040	-0.00636	0.05063
0.52759	-0.05562	0.03049	-0.04673	0.04006	-0.00888	0.05034
0.54828	-0.05245	0.03049	-0.05207	0.04031	-0.00037	0.05054
0.56897	-0.06205	0.03079	-0.05104	0.03990	-0.01101	0.05040
0.58966	-0.06210	0.03083	-0.05909	0.03960	-0.00300	0.05019
0.61034	-0.07316	0.03010	-0.04745	0.03606	-0.02571	0.04698
0.63103	-0.05985	0.02984	-0.05158	0.03619	-0.00827	0.04691
0.65172	-0.07645	0.03029	-0.06261	0.03639	-0.01384	0.04735
0.67241	-0.07978	0.02925	-0.06310	0.03597	-0.01668	0.04636
0.69310	-0.06176	0.02816	-0.05053	0.03485	-0.01122	0.04481
0.71379	-0.05923	0.02934	-0.05481	0.03754	-0.00443	0.04764
0.73448	-0.06295	0.02930	-0.05819	0.03762	-0.00476	0.04769
0.75517	-0.05527	0.02861	-0.06074	0.03736	0.00547	0.04706
0.77586	-0.04672	0.02830	-0.06006	0.03715	0.01335	0.04670
0.79655	-0.03941	0.02798	-0.04901	0.03754	0.00959	0.04682
0.81724	-0.02973	0.02752	-0.03326	0.03732	0.00352	0.04637
0.83793	-0.02700	0.02560	-0.02474	0.03476	-0.00226	0.04317
0.85862	-0.03166	0.02540	-0.03931	0.03466	0.00765	0.04297
0.87931	-0.02758	0.02484	-0.03497	0.03467	0.00739	0.04265
0.90000	-0.03733	0.02158	-0.03071	0.03027	-0.00662	0.03718
