Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.01786	0.45499	0.08862	0.45834	-0.07076	0.64583
0.32069	0.14062	0.38975	0.04276	0.47682	0.09787	0.61584
0.34138	0.11905	0.39788	0.50049	0.33283	-0.38144	0.51874
0.36207	0.32828	0.32514	0.51351	0.31923	-0.18523	0.45566
0.38276	0.13636	0.37235	0.38328	0.40787	-0.24691	0.55227
0.40345	0.19421	0.34282	0.42815	0.38583	-0.23393	0.51613
0.42414	0.31947	0.29572	0.40340	0.39992	-0.08393	0.49738
0.44483	-0.10714	0.42888	0.51213	0.36134	-0.61927	0.56080
0.46552	-0.04590	0.40887	0.51876	0.35274	-0.56466	0.54000
0.48621	0.08778	0.35633	0.50076	0.37260	-0.41298	0.51555
0.50690	-0.10769	0.40959	0.35644	0.44910	-0.46413	0.60783
0.52759	-0.04185	0.37356	0.35206	0.44499	-0.39391	0.58100
0.54828	-0.03235	0.37661	0.31187	0.48418	-0.34422	0.61341
0.56897	-0.02857	0.37418	-0.76510	0.83563	0.73652	0.91558
0.58966	0.04375	0.35142	-0.46170	0.68237	0.50545	0.76755
0.61034	-0.01631	0.36096	-0.62311	0.72803	0.60680	0.81260
0.63103	-0.15789	0.39798	-0.57342	0.72683	0.41552	0.82866
0.65172	-0.04434	0.34594	-0.45873	0.67706	0.41439	0.76032
0.67241	-0.24644	0.39294	-0.37826	0.58660	0.13182	0.70604
0.69310	-0.23036	0.38143	-0.36868	0.58083	0.13832	0.69487
0.71379	-0.36935	0.43724	-0.26482	0.55476	-0.10454	0.70636
0.73448	-0.34211	0.42082	-1.47485	1.54256	1.13275	1.59893
0.75517	-0.41667	0.44088	-1.52118	1.53522	1.10452	1.59727
0.77586	-0.21442	0.36426	-1.53854	1.54373	1.32412	1.58612
0.79655	-0.04040	0.30401	-1.60599	1.59006	1.56559	1.61887
0.81724	-0.12821	0.32534	-1.61000	1.59914	1.48179	1.63189
0.83793	-0.29098	0.35880	-1.34754	1.35689	1.05656	1.40352
0.85862	-0.19032	0.32609	-1.25401	1.32940	1.06369	1.36881
0.87931	-0.28042	0.34616	-1.58160	1.50389	1.30118	1.54321
0.90000	-0.17829	0.28385	-1.00509	0.96392	0.82679	1.00485
