Boundary	Data 2SVJ_NonClosure	Data 2SVJ_NC_err	Background MC 2SVJ_NonClosure	Background MC 2SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.04796	0.04376	0.02189	0.06461	-0.06985	0.07804
225.86207	-0.04548	0.04373	0.02333	0.06471	-0.06882	0.07810
226.72414	-0.03983	0.04168	0.00049	0.06325	-0.04032	0.07574
227.58621	-0.03288	0.04147	-0.00310	0.06364	-0.02978	0.07596
228.44828	-0.02808	0.04133	-0.00362	0.06387	-0.02446	0.07608
229.31034	-0.02728	0.04136	-0.00455	0.06413	-0.02273	0.07631
230.17241	-0.02462	0.04132	-0.00457	0.06434	-0.02005	0.07647
231.03448	-0.02417	0.04186	-0.00835	0.06404	-0.01582	0.07651
231.89655	-0.02487	0.04197	-0.00515	0.06401	-0.01972	0.07654
232.75862	-0.02447	0.04204	-0.00553	0.06424	-0.01894	0.07677
233.62069	0.00235	0.03853	-0.02794	0.06215	0.03029	0.07313
234.48276	0.00194	0.03862	-0.04301	0.06313	0.04495	0.07401
235.34483	0.00003	0.03877	-0.04965	0.06365	0.04969	0.07453
236.20690	0.00002	0.03884	-0.05033	0.06390	0.05035	0.07478
237.06897	-0.00383	0.03906	-0.04761	0.06398	0.04378	0.07496
237.93103	-0.00936	0.03935	-0.04654	0.06417	0.03718	0.07527
238.79310	-0.01335	0.03961	-0.04513	0.06432	0.03179	0.07554
239.65517	-0.00982	0.03959	-0.04927	0.06472	0.03945	0.07587
240.51724	-0.00766	0.03811	-0.04056	0.06224	0.03291	0.07298
241.37931	-0.00310	0.03804	-0.04225	0.06234	0.03916	0.07303
242.24138	0.00419	0.03966	-0.07769	0.06303	0.08188	0.07447
243.10345	0.00469	0.03975	-0.08287	0.06358	0.08756	0.07498
243.96552	0.00399	0.03990	-0.09044	0.06412	0.09442	0.07552
244.82759	0.00869	0.03983	-0.08784	0.06427	0.09653	0.07561
245.68966	0.00760	0.04001	-0.08970	0.06472	0.09730	0.07609
246.55172	0.01540	0.03981	-0.08301	0.06465	0.09841	0.07593
247.41379	0.00082	0.03885	-0.08351	0.06247	0.08433	0.07356
248.27586	0.00608	0.03884	-0.07977	0.06268	0.08585	0.07374
249.13793	0.00329	0.03920	-0.08279	0.06301	0.08608	0.07421
250.00000	-0.00714	0.04149	-0.07919	0.06486	0.07205	0.07700
