Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	0.05808	0.09450	0.04565	0.14573	0.01243	0.17369
225.86207	0.06318	0.09398	0.04606	0.14571	0.01712	0.17339
226.72414	0.07367	0.08827	0.05015	0.14106	0.02352	0.16640
227.58621	0.05833	0.08972	0.04634	0.14167	0.01199	0.16769
228.44828	0.05658	0.08988	0.04724	0.14164	0.00935	0.16775
229.31034	0.05819	0.08971	0.04674	0.14179	0.01145	0.16779
230.17241	0.06325	0.08923	0.04836	0.14170	0.01490	0.16745
231.03448	-0.01915	0.09726	0.09970	0.13887	-0.11885	0.16954
231.89655	-0.01256	0.09664	0.09706	0.13934	-0.10962	0.16958
232.75862	-0.01127	0.09654	0.10166	0.13870	-0.11293	0.16899
233.62069	-0.04362	0.09409	0.14975	0.12318	-0.19337	0.15501
234.48276	-0.03989	0.09377	0.14968	0.12326	-0.18958	0.15488
235.34483	-0.04023	0.09381	0.15115	0.12315	-0.19139	0.15481
236.20690	-0.04942	0.09467	0.17948	0.11878	-0.22890	0.15189
237.06897	-0.04228	0.09407	0.18046	0.11877	-0.22274	0.15151
237.93103	-0.03046	0.09304	0.17865	0.11918	-0.20911	0.15120
238.79310	-0.01942	0.09210	0.17966	0.11913	-0.19908	0.15058
239.65517	-0.02409	0.09255	0.18090	0.11906	-0.20499	0.15080
240.51724	0.01750	0.08555	0.16965	0.11436	-0.15214	0.14282
241.37931	0.01447	0.08585	0.13267	0.11909	-0.11820	0.14681
242.24138	0.01416	0.08899	0.12736	0.12959	-0.11320	0.15720
243.10345	0.01517	0.08897	0.12881	0.12951	-0.11363	0.15712
243.96552	0.02108	0.08850	0.12235	0.13070	-0.10127	0.15784
244.82759	0.02523	0.08822	0.12115	0.13114	-0.09592	0.15805
245.68966	0.01295	0.08950	0.12404	0.13097	-0.11109	0.15863
246.55172	0.01716	0.08923	0.11881	0.13210	-0.10165	0.15942
247.41379	0.02202	0.08479	0.04607	0.13203	-0.02405	0.15691
248.27586	0.01371	0.08582	0.05057	0.13187	-0.03686	0.15734
249.13793	0.03409	0.08439	0.04885	0.13271	-0.01476	0.15727
250.00000	0.07419	0.08247	0.12266	0.12554	-0.04847	0.15021
