Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.07557	0.05988	-0.13125	0.07351	0.05568	0.09481
0.32069	-0.09667	0.06080	-0.12903	0.07498	0.03236	0.09653
0.34138	-0.05945	0.06008	-0.12704	0.07846	0.06759	0.09882
0.36207	-0.02732	0.05862	-0.08526	0.07725	0.05794	0.09698
0.38276	-0.04192	0.05877	-0.07032	0.07477	0.02840	0.09510
0.40345	-0.06507	0.06018	-0.10533	0.08044	0.04027	0.10046
0.42414	-0.05175	0.05913	-0.08957	0.08032	0.03782	0.09974
0.44483	-0.06569	0.05969	-0.08696	0.07866	0.02126	0.09874
0.46552	-0.00240	0.05500	-0.11278	0.07671	0.11039	0.09439
0.48621	-0.04816	0.05760	-0.09580	0.07452	0.04763	0.09419
0.50690	-0.05354	0.05743	0.00207	0.06824	-0.05561	0.08919
0.52759	-0.04181	0.05556	0.03008	0.06652	-0.07189	0.08667
0.54828	-0.05283	0.05603	0.00531	0.06812	-0.05814	0.08820
0.56897	-0.02591	0.05441	0.03067	0.06551	-0.05659	0.08515
0.58966	-0.04705	0.05504	0.05047	0.06156	-0.09752	0.08258
0.61034	-0.06872	0.05452	0.03983	0.05954	-0.10856	0.08073
0.63103	-0.05029	0.05336	0.01372	0.06142	-0.06401	0.08137
0.65172	-0.05992	0.05377	0.03366	0.06143	-0.09357	0.08164
0.67241	-0.03163	0.05250	0.07581	0.05721	-0.10744	0.07765
0.69310	-0.04014	0.05209	0.06465	0.05718	-0.10479	0.07735
0.71379	-0.01089	0.05037	0.06631	0.05985	-0.07720	0.07822
0.73448	-0.03317	0.05146	0.08222	0.05936	-0.11539	0.07857
0.75517	-0.01734	0.04996	0.09912	0.05680	-0.11646	0.07565
0.77586	-0.02393	0.05004	0.07301	0.05879	-0.09694	0.07720
0.79655	-0.04738	0.05080	0.05389	0.05934	-0.10126	0.07812
0.81724	-0.05423	0.05103	0.04664	0.05938	-0.10087	0.07829
0.83793	-0.05649	0.05010	0.05733	0.05721	-0.11383	0.07604
0.85862	-0.06502	0.05010	0.04639	0.05805	-0.11141	0.07668
0.87931	-0.04511	0.04805	0.02109	0.05700	-0.06620	0.07455
0.90000	-0.02394	0.04035	-0.01073	0.05268	-0.01322	0.06636
