Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.17402	0.03131	-0.08511	0.04302	-0.08891	0.05320
0.32069	-0.14930	0.03061	-0.05530	0.04160	-0.09400	0.05165
0.34138	-0.13484	0.03107	-0.07827	0.04464	-0.05657	0.05439
0.36207	-0.12021	0.03104	-0.08255	0.04457	-0.03766	0.05431
0.38276	-0.11319	0.03033	-0.07316	0.04363	-0.04004	0.05314
0.40345	-0.11958	0.03066	-0.09887	0.04523	-0.02071	0.05465
0.42414	-0.10636	0.03038	-0.07387	0.04220	-0.03249	0.05200
0.44483	-0.09511	0.03004	-0.09469	0.04291	-0.00042	0.05238
0.46552	-0.10234	0.02970	-0.10478	0.04281	0.00244	0.05210
0.48621	-0.10736	0.03006	-0.09519	0.04200	-0.01217	0.05165
0.50690	-0.10036	0.03003	-0.09221	0.04204	-0.00814	0.05166
0.52759	-0.09557	0.02926	-0.06702	0.04171	-0.02855	0.05095
0.54828	-0.09301	0.02917	-0.04337	0.04031	-0.04964	0.04976
0.56897	-0.09810	0.02934	-0.05594	0.04176	-0.04215	0.05104
0.58966	-0.09688	0.02930	-0.04004	0.04134	-0.05684	0.05067
0.61034	-0.08972	0.02812	-0.05548	0.04046	-0.03424	0.04927
0.63103	-0.08479	0.02801	-0.04366	0.03996	-0.04113	0.04880
0.65172	-0.08472	0.02798	-0.05360	0.04074	-0.03112	0.04943
0.67241	-0.08518	0.02805	-0.04201	0.04040	-0.04317	0.04919
0.69310	-0.09049	0.02765	-0.03699	0.03959	-0.05351	0.04829
0.71379	-0.08860	0.02753	-0.00856	0.03863	-0.08004	0.04743
0.73448	-0.09045	0.02759	-0.00644	0.03865	-0.08401	0.04748
0.75517	-0.09403	0.02712	-0.02241	0.03887	-0.07163	0.04740
0.77586	-0.07568	0.02655	-0.00796	0.03862	-0.06772	0.04686
0.79655	-0.08347	0.02666	-0.01910	0.03844	-0.06437	0.04678
0.81724	-0.08261	0.02651	-0.00850	0.03775	-0.07411	0.04612
0.83793	-0.06881	0.02558	-0.02330	0.03751	-0.04551	0.04540
0.85862	-0.05573	0.02492	-0.01204	0.03649	-0.04369	0.04419
0.87931	-0.04544	0.02407	-0.00034	0.03536	-0.04510	0.04277
0.90000	-0.07015	0.02130	-0.00165	0.03146	-0.06850	0.03799
