Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.00090	0.07641	-0.07983	0.11817	0.08073	0.14072
0.32069	0.01697	0.07461	-0.11124	0.11912	0.12820	0.14056
0.34138	0.02867	0.07324	-0.09869	0.12176	0.12736	0.14209
0.36207	0.08964	0.07058	-0.03979	0.11531	0.12943	0.13520
0.38276	0.05746	0.07185	-0.04103	0.11351	0.09849	0.13434
0.40345	0.07596	0.07054	-0.08908	0.12843	0.16504	0.14653
0.42414	0.06027	0.07149	-0.10507	0.12601	0.16534	0.14488
0.44483	0.01455	0.07411	-0.02336	0.11483	0.03791	0.13667
0.46552	0.00155	0.07471	-0.01791	0.11060	0.01946	0.13347
0.48621	0.01747	0.07312	-0.02653	0.10746	0.04401	0.12998
0.50690	0.03836	0.06703	-0.04698	0.10492	0.08534	0.12450
0.52759	0.02393	0.06703	-0.04837	0.10178	0.07229	0.12187
0.54828	0.02164	0.06684	-0.06318	0.10769	0.08482	0.12675
0.56897	0.01851	0.06730	-0.07766	0.10651	0.09617	0.12599
0.58966	-0.01984	0.06911	-0.07159	0.10425	0.05175	0.12508
0.61034	-0.04165	0.06845	-0.09015	0.10199	0.04850	0.12283
0.63103	-0.03464	0.06823	-0.09620	0.10280	0.06157	0.12338
0.65172	-0.03826	0.06818	-0.08393	0.10100	0.04567	0.12186
0.67241	0.00039	0.06374	-0.06731	0.09060	0.06770	0.11078
0.69310	-0.03086	0.06448	-0.07225	0.09027	0.04138	0.11093
0.71379	0.01037	0.06449	-0.05655	0.09611	0.06692	0.11574
0.73448	0.02749	0.06284	-0.06785	0.10049	0.09534	0.11852
0.75517	0.03033	0.06201	-0.07538	0.09821	0.10571	0.11615
0.77586	0.01401	0.06285	-0.03951	0.09863	0.05352	0.11695
0.79655	-0.00562	0.06345	-0.00995	0.09989	0.00434	0.11834
0.81724	-0.04319	0.06584	0.00924	0.09734	-0.05243	0.11751
0.83793	-0.02424	0.06026	0.01481	0.08702	-0.03905	0.10585
0.85862	-0.04672	0.06108	0.00947	0.08505	-0.05619	0.10471
0.87931	-0.03544	0.05919	0.04158	0.08238	-0.07703	0.10144
0.90000	-0.01768	0.05006	0.00262	0.07484	-0.02030	0.09004
