Boundary	Data 2SVJ_NonClosure	Data 2SVJ_NC_err	Background MC 2SVJ_NonClosure	Background MC 2SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.01026	0.08241	-0.10663	0.13486	0.11689	0.15804
0.32069	0.03207	0.08030	-0.10672	0.13371	0.13879	0.15597
0.34138	0.04025	0.07905	-0.11056	0.13522	0.15082	0.15663
0.36207	0.09556	0.07683	-0.04191	0.12675	0.13747	0.14822
0.38276	0.05458	0.07898	-0.04538	0.12524	0.09996	0.14806
0.40345	0.06878	0.07793	-0.08880	0.14418	0.15758	0.16389
0.42414	0.04671	0.07899	-0.07789	0.13963	0.12460	0.16043
0.44483	-0.00037	0.08211	-0.01543	0.12076	0.01506	0.14603
0.46552	-0.02781	0.08383	-0.00660	0.11665	-0.02121	0.14365
0.48621	0.00431	0.08062	0.00868	0.11350	-0.00438	0.13922
0.50690	0.03626	0.07310	-0.02957	0.11334	0.06583	0.13487
0.52759	0.02377	0.07299	-0.03685	0.11070	0.06062	0.13260
0.54828	0.03671	0.07126	-0.05120	0.11641	0.08791	0.13649
0.56897	0.02400	0.07224	-0.06575	0.11609	0.08974	0.13673
0.58966	-0.00478	0.07376	-0.09150	0.11584	0.08672	0.13733
0.61034	-0.02208	0.07248	-0.12391	0.11545	0.10183	0.13632
0.63103	-0.02777	0.07316	-0.12999	0.11670	0.10221	0.13773
0.65172	-0.02555	0.07268	-0.12037	0.11464	0.09483	0.13574
0.67241	0.02275	0.06749	-0.11389	0.10333	0.13664	0.12341
0.69310	-0.00472	0.06800	-0.11438	0.10255	0.10966	0.12304
0.71379	0.03613	0.06767	-0.09428	0.10651	0.13041	0.12619
0.73448	0.04356	0.06644	-0.08901	0.11013	0.13257	0.12862
0.75517	0.05465	0.06498	-0.09351	0.10722	0.14816	0.12537
0.77586	0.02652	0.06665	-0.04850	0.11021	0.07502	0.12879
0.79655	0.02031	0.06632	-0.04654	0.11088	0.06686	0.12920
0.81724	-0.03658	0.07036	-0.02640	0.10801	-0.01018	0.12890
0.83793	-0.01926	0.06459	-0.01036	0.09659	-0.00890	0.11620
0.85862	-0.04320	0.06574	-0.02182	0.09663	-0.02138	0.11687
0.87931	-0.05215	0.06517	-0.00528	0.09355	-0.04687	0.11401
0.90000	-0.01896	0.05431	-0.01723	0.08475	-0.00173	0.10066
