Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.01839	0.06212	0.00200	0.11837	-0.02038	0.13368
225.86207	-0.00615	0.06137	0.01039	0.11740	-0.01654	0.13247
226.72414	-0.00441	0.05851	0.03412	0.11051	-0.03852	0.12505
227.58621	-0.00118	0.05833	0.03697	0.11033	-0.03815	0.12480
228.44828	-0.00339	0.05846	0.03294	0.11088	-0.03633	0.12535
229.31034	0.00240	0.05815	0.03555	0.11064	-0.03315	0.12499
230.17241	-0.00595	0.05865	0.03921	0.11031	-0.04516	0.12493
231.03448	-0.01968	0.05997	0.09632	0.11001	-0.11600	0.12529
231.89655	-0.01866	0.05993	0.09606	0.11020	-0.11473	0.12544
232.75862	-0.01526	0.05976	0.09690	0.11023	-0.11216	0.12539
233.62069	0.01854	0.05450	0.06081	0.10527	-0.04226	0.11854
234.48276	0.01343	0.05481	0.06081	0.10549	-0.04738	0.11888
235.34483	0.00863	0.05511	0.06323	0.10546	-0.05460	0.11899
236.20690	0.01691	0.05467	0.08432	0.10314	-0.06740	0.11673
237.06897	0.01857	0.05460	0.12579	0.09813	-0.10722	0.11230
237.93103	0.01362	0.05492	0.12547	0.09835	-0.11185	0.11265
238.79310	0.01349	0.05497	0.12795	0.09821	-0.11446	0.11255
239.65517	0.01337	0.05502	0.12650	0.09857	-0.11313	0.11288
240.51724	-0.00575	0.05393	0.08075	0.09808	-0.08650	0.11193
241.37931	-0.01383	0.05441	0.05586	0.10093	-0.06969	0.11467
242.24138	-0.01510	0.05691	0.01699	0.11306	-0.03209	0.12657
243.10345	-0.01509	0.05697	0.01687	0.11325	-0.03196	0.12677
243.96552	-0.02305	0.05752	0.01761	0.11340	-0.04066	0.12715
244.82759	-0.01968	0.05743	0.01717	0.11377	-0.03685	0.12744
245.68966	-0.02449	0.05780	0.01973	0.11406	-0.04422	0.12787
246.55172	-0.01970	0.05759	0.00778	0.11621	-0.02748	0.12970
247.41379	-0.02563	0.05532	-0.00524	0.11160	-0.02039	0.12456
248.27586	-0.01583	0.05497	-0.00594	0.11231	-0.00989	0.12504
249.13793	-0.01541	0.05516	-0.01500	0.11420	-0.00041	0.12682
250.00000	-0.04463	0.05860	0.00794	0.11579	-0.05256	0.12977
