Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.15030	0.20900	-0.09462	0.55703	-0.05568	0.59495
225.86207	-0.16491	0.21104	-0.09354	0.55590	-0.07137	0.59461
226.72414	-0.22417	0.21256	-0.01231	0.48922	-0.21186	0.53340
227.58621	-0.16134	0.20081	-0.01383	0.48969	-0.14751	0.52927
228.44828	-0.14993	0.19814	-0.01234	0.48718	-0.13759	0.52593
229.31034	-0.14435	0.19685	0.03623	0.45636	-0.18059	0.49701
230.17241	-0.15299	0.19794	0.03951	0.45265	-0.19250	0.49404
231.03448	-0.12947	0.20198	0.23036	0.26140	-0.35983	0.33034
231.89655	-0.13696	0.20302	0.22820	0.26158	-0.36516	0.33112
232.75862	-0.13696	0.20302	0.22673	0.26159	-0.36369	0.33113
233.62069	-0.12689	0.18595	0.28527	0.23420	-0.41217	0.29905
234.48276	-0.09897	0.18114	0.23456	0.25017	-0.33353	0.30886
235.34483	-0.07423	0.17668	0.23495	0.24893	-0.30918	0.30525
236.20690	-0.06098	0.17441	0.24013	0.24611	-0.30111	0.30165
237.06897	-0.03739	0.17021	0.24054	0.24525	-0.27793	0.29853
237.93103	-0.02938	0.16853	0.23531	0.24626	-0.26469	0.29841
238.79310	-0.02938	0.16853	0.23336	0.24630	-0.26274	0.29844
239.65517	-0.07516	0.17580	0.23490	0.24550	-0.31006	0.30196
240.51724	-0.09695	0.17257	0.22366	0.24349	-0.32061	0.29844
241.37931	-0.08422	0.17030	0.21643	0.24523	-0.30066	0.29856
242.24138	-0.10782	0.18211	0.22777	0.22764	-0.33560	0.29152
243.10345	-0.11556	0.18330	0.22815	0.22648	-0.34372	0.29136
243.96552	-0.10111	0.18080	0.22592	0.22649	-0.32703	0.28981
244.82759	-0.09453	0.17958	0.22762	0.22535	-0.32215	0.28815
245.68966	-0.08368	0.17778	0.22254	0.22650	-0.30622	0.28793
246.55172	-0.08808	0.17843	0.24131	0.21938	-0.32939	0.28278
247.41379	-0.16173	0.18228	0.23034	0.21471	-0.39208	0.28165
248.27586	-0.15533	0.18139	0.22935	0.21382	-0.38468	0.28039
249.13793	-0.09902	0.17271	0.22429	0.21468	-0.32331	0.27553
250.00000	-0.04364	0.16586	0.20971	0.21028	-0.25335	0.26782
