Boundary	Data 2SVJ_NonClosure	Data 2SVJ_NC_err	Background MC 2SVJ_NonClosure	Background MC 2SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.04745	0.09986	-0.22167	0.15791	0.17422	0.18683
0.32069	-0.02569	0.09746	-0.24372	0.17770	0.21804	0.20267
0.34138	0.03459	0.09329	-0.23980	0.17880	0.27440	0.20167
0.36207	0.01371	0.09576	-0.24970	0.18402	0.26341	0.20745
0.38276	-0.04046	0.09934	-0.27895	0.19405	0.23849	0.21800
0.40345	-0.10073	0.10604	-0.32286	0.19955	0.22213	0.22598
0.42414	-0.06596	0.10205	-0.23992	0.20530	0.17396	0.22926
0.44483	-0.06712	0.10366	-0.26378	0.20924	0.19667	0.23351
0.46552	-0.01436	0.09652	-0.17105	0.19948	0.15669	0.22160
0.48621	-0.05044	0.09886	-0.05166	0.18369	0.00123	0.20861
0.50690	-0.07239	0.10018	0.02499	0.16370	-0.09738	0.19193
0.52759	-0.02009	0.09272	0.02437	0.15928	-0.04446	0.18430
0.54828	-0.05712	0.09524	0.04981	0.15420	-0.10693	0.18124
0.56897	-0.06549	0.09451	0.08387	0.13711	-0.14937	0.16652
0.58966	-0.07483	0.09356	0.04935	0.15206	-0.12418	0.17853
0.61034	-0.08957	0.09252	0.04023	0.15340	-0.12980	0.17914
0.63103	-0.05529	0.08953	0.02585	0.15306	-0.08114	0.17732
0.65172	-0.03250	0.08590	0.06292	0.14155	-0.09542	0.16558
0.67241	-0.03158	0.08664	0.09360	0.14736	-0.12517	0.17094
0.69310	-0.06452	0.08825	0.08097	0.14626	-0.14549	0.17083
0.71379	-0.06644	0.08790	0.08922	0.14275	-0.15566	0.16764
0.73448	-0.06465	0.08724	0.01815	0.15364	-0.08280	0.17668
0.75517	-0.01397	0.08128	-0.07348	0.15957	0.05951	0.17908
0.77586	-0.04705	0.08347	-0.07059	0.15760	0.02355	0.17834
0.79655	-0.06716	0.08515	-0.11664	0.17422	0.04948	0.19392
0.81724	-0.08520	0.08644	-0.11312	0.17112	0.02792	0.19171
0.83793	-0.10600	0.08627	-0.11724	0.16805	0.01124	0.18890
0.85862	-0.08988	0.08437	-0.13884	0.16757	0.04896	0.18761
0.87931	-0.09569	0.08388	-0.05220	0.14719	-0.04348	0.16941
0.90000	-0.10697	0.07261	-0.03459	0.12518	-0.07239	0.14471
