Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.03752	0.07966	0.13705	0.10753	-0.17457	0.13382
0.32069	-0.04221	0.07937	0.09362	0.12179	-0.13583	0.14537
0.34138	-0.05622	0.08105	0.02152	0.12026	-0.07774	0.14502
0.36207	-0.03225	0.07894	0.05643	0.11714	-0.08868	0.14126
0.38276	-0.03765	0.07784	0.11312	0.10001	-0.15077	0.12673
0.40345	-0.00074	0.07428	0.13646	0.09807	-0.13720	0.12302
0.42414	0.04051	0.07141	0.13499	0.09869	-0.09448	0.12181
0.44483	0.02410	0.07309	0.08609	0.11292	-0.06199	0.13451
0.46552	-0.04503	0.07754	0.04389	0.14962	-0.08892	0.16852
0.48621	-0.04812	0.07825	0.05015	0.14941	-0.09827	0.16866
0.50690	-0.03575	0.07697	-0.00478	0.15016	-0.03097	0.16874
0.52759	-0.01004	0.07389	-0.01407	0.14552	0.00403	0.16320
0.54828	0.00618	0.07206	-0.00181	0.14369	0.00799	0.16075
0.56897	0.03232	0.07024	-0.01017	0.14156	0.04249	0.15803
0.58966	-0.01294	0.07353	-0.05272	0.15247	0.03978	0.16928
0.61034	-0.00295	0.07083	-0.12238	0.16072	0.11944	0.17563
0.63103	-0.00120	0.07100	-0.16973	0.16757	0.16853	0.18200
0.65172	-0.08038	0.07692	-0.14147	0.17362	0.06109	0.18989
0.67241	-0.13267	0.08097	-0.13804	0.17160	0.00536	0.18974
0.69310	-0.11486	0.07779	-0.11613	0.16934	0.00127	0.18635
0.71379	-0.10876	0.07678	-0.10182	0.17690	-0.00694	0.19284
0.73448	-0.08109	0.07427	-0.05849	0.16207	-0.02260	0.17828
0.75517	-0.06253	0.07104	-0.04748	0.15562	-0.01504	0.17107
0.77586	-0.03315	0.06916	-0.01087	0.15298	-0.02228	0.16788
0.79655	-0.01842	0.06766	-0.01705	0.15288	-0.00136	0.16718
0.81724	0.01378	0.06491	-0.01609	0.15268	0.02988	0.16590
0.83793	-0.00281	0.06463	-0.01772	0.14731	0.01492	0.16086
0.85862	-0.01231	0.06424	0.03362	0.13995	-0.04594	0.15399
0.87931	0.00096	0.06201	0.02377	0.13804	-0.02281	0.15133
0.90000	-0.05993	0.05682	0.07623	0.10578	-0.13617	0.12007
