Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.03128	0.03706	0.00250	0.04064	-0.03378	0.05501
0.32069	-0.00742	0.03641	-0.00803	0.04315	0.00062	0.05646
0.34138	0.00484	0.03526	-0.04137	0.04473	0.04621	0.05696
0.36207	0.00401	0.03599	-0.05575	0.04794	0.05976	0.05995
0.38276	-0.01160	0.03600	-0.04840	0.04595	0.03680	0.05837
0.40345	-0.02070	0.03660	-0.05435	0.04636	0.03365	0.05907
0.42414	-0.02403	0.03708	-0.05264	0.04690	0.02861	0.05979
0.44483	-0.04095	0.03877	-0.04958	0.04644	0.00864	0.06050
0.46552	-0.04979	0.03875	-0.04237	0.04637	-0.00742	0.06043
0.48621	-0.04979	0.03874	-0.03765	0.04698	-0.01214	0.06089
0.50690	-0.04050	0.03607	-0.02990	0.04485	-0.01060	0.05756
0.52759	-0.05528	0.03600	-0.05135	0.04502	-0.00393	0.05764
0.54828	-0.05430	0.03610	-0.06676	0.04583	0.01246	0.05834
0.56897	-0.06611	0.03657	-0.07592	0.04596	0.00982	0.05873
0.58966	-0.06410	0.03658	-0.08217	0.04593	0.01807	0.05872
0.61034	-0.08465	0.03594	-0.06185	0.04076	-0.02280	0.05434
0.63103	-0.06693	0.03548	-0.06619	0.04097	-0.00074	0.05420
0.65172	-0.07542	0.03574	-0.07803	0.04129	0.00261	0.05461
0.67241	-0.07447	0.03423	-0.08367	0.04091	0.00920	0.05334
0.69310	-0.05187	0.03287	-0.06907	0.03969	0.01720	0.05154
0.71379	-0.05574	0.03448	-0.06655	0.04259	0.01081	0.05480
0.73448	-0.06594	0.03478	-0.06172	0.04247	-0.00422	0.05489
0.75517	-0.06222	0.03403	-0.05711	0.04198	-0.00510	0.05404
0.77586	-0.04584	0.03344	-0.06191	0.04180	0.01607	0.05353
0.79655	-0.04509	0.03327	-0.05556	0.04211	0.01047	0.05366
0.81724	-0.04288	0.03293	-0.04194	0.04161	-0.00094	0.05306
0.83793	-0.03968	0.03066	-0.02590	0.03915	-0.01379	0.04972
0.85862	-0.05155	0.03065	-0.03679	0.03848	-0.01476	0.04920
0.87931	-0.03174	0.02947	-0.02803	0.03812	-0.00371	0.04819
0.90000	-0.04146	0.02560	-0.01908	0.03303	-0.02238	0.04179
