Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.03763	0.12122	-0.44064	0.34140	0.47827	0.36228
0.32069	0.04145	0.12044	-0.21775	0.30962	0.25920	0.33223
0.34138	0.04131	0.11954	-0.18871	0.30654	0.23003	0.32903
0.36207	-0.01882	0.12642	-0.18181	0.31428	0.16299	0.33876
0.38276	-0.00734	0.12161	-0.09091	0.29454	0.08357	0.31866
0.40345	0.02374	0.11740	-0.07546	0.29007	0.09920	0.31293
0.42414	0.04152	0.11476	-0.04738	0.28216	0.08890	0.30460
0.44483	0.03704	0.11580	-0.03873	0.27995	0.07576	0.30296
0.46552	0.06389	0.11175	-0.02325	0.27034	0.08715	0.29253
0.48621	0.04648	0.11267	0.05987	0.23568	-0.01339	0.26123
0.50690	-0.01722	0.11328	0.09112	0.18647	-0.10833	0.21818
0.52759	-0.02373	0.11344	0.08328	0.18227	-0.10701	0.21469
0.54828	-0.00161	0.10951	0.07784	0.18170	-0.07945	0.21215
0.56897	0.04742	0.10278	0.01170	0.16424	0.03571	0.19375
0.58966	-0.01543	0.10844	0.06617	0.15375	-0.08161	0.18815
0.61034	-0.08922	0.11330	-0.05359	0.19073	-0.03563	0.22184
0.63103	-0.10661	0.11526	-0.04985	0.18304	-0.05676	0.21631
0.65172	-0.09947	0.11263	-0.15743	0.17202	0.05797	0.20561
0.67241	-0.11360	0.10970	-0.09317	0.18487	-0.02043	0.21496
0.69310	-0.11845	0.10848	-0.09338	0.18080	-0.02507	0.21084
0.71379	-0.10411	0.11031	-0.00011	0.17505	-0.10400	0.20691
0.73448	-0.11397	0.11105	-0.09368	0.20044	-0.02028	0.22914
0.75517	-0.10246	0.10900	-0.19155	0.22373	0.08908	0.24887
0.77586	-0.07073	0.10443	-0.19476	0.22380	0.12403	0.24696
0.79655	-0.02911	0.09921	-0.03412	0.22293	0.00501	0.24401
0.81724	-0.04646	0.10050	-0.00827	0.21562	-0.03819	0.23789
0.83793	-0.02508	0.09144	-0.05157	0.20452	0.02649	0.22403
0.85862	-0.04258	0.09282	-0.03891	0.19643	-0.00367	0.21726
0.87931	-0.07814	0.09472	-0.12110	0.19919	0.04295	0.22056
0.90000	-0.00972	0.07581	-0.04901	0.16031	0.03929	0.17734
