Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.03120	0.03960	0.02465	0.05464	-0.05585	0.06748
225.86207	-0.02825	0.03954	0.02591	0.05470	-0.05416	0.06749
226.72414	-0.01909	0.03749	0.00841	0.05306	-0.02750	0.06497
227.58621	-0.01579	0.03742	0.00482	0.05336	-0.02061	0.06517
228.44828	-0.01204	0.03732	0.00455	0.05354	-0.01659	0.06527
229.31034	-0.01117	0.03734	0.00371	0.05374	-0.01488	0.06544
230.17241	-0.00810	0.03728	0.00398	0.05391	-0.01207	0.06555
231.03448	-0.01955	0.03818	0.01071	0.05411	-0.03026	0.06622
231.89655	-0.01907	0.03821	0.01293	0.05410	-0.03200	0.06623
232.75862	-0.01849	0.03826	0.01347	0.05424	-0.03195	0.06638
233.62069	-0.00131	0.03543	0.00375	0.05192	-0.00505	0.06286
234.48276	-0.00105	0.03548	-0.00825	0.05264	0.00720	0.06348
235.34483	-0.00264	0.03559	-0.01319	0.05302	0.01055	0.06386
236.20690	-0.00401	0.03569	-0.00815	0.05310	0.00414	0.06398
237.06897	-0.00623	0.03583	-0.00571	0.05317	-0.00052	0.06411
237.93103	-0.00906	0.03599	-0.00515	0.05334	-0.00392	0.06435
238.79310	-0.01070	0.03613	-0.00372	0.05344	-0.00698	0.06451
239.65517	-0.00838	0.03613	-0.00665	0.05373	-0.00173	0.06475
240.51724	0.00004	0.03455	-0.00277	0.05165	0.00281	0.06214
241.37931	0.00340	0.03452	-0.01130	0.05182	0.01470	0.06226
242.24138	0.01053	0.03591	-0.03985	0.05313	0.05038	0.06413
243.10345	0.01112	0.03597	-0.04358	0.05354	0.05470	0.06450
243.96552	0.01156	0.03605	-0.05077	0.05403	0.06233	0.06495
244.82759	0.01613	0.03598	-0.04885	0.05418	0.06499	0.06504
245.68966	0.01315	0.03622	-0.04963	0.05452	0.06278	0.06545
246.55172	0.02027	0.03605	-0.04516	0.05452	0.06543	0.06536
247.41379	0.00989	0.03498	-0.05973	0.05232	0.06962	0.06293
248.27586	0.01265	0.03506	-0.05578	0.05249	0.06843	0.06312
249.13793	0.01365	0.03524	-0.05836	0.05278	0.07201	0.06346
250.00000	0.01322	0.03674	-0.03919	0.05391	0.05240	0.06524
