Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.03424	0.08998	-0.01423	0.16518	-0.02001	0.18809
225.86207	-0.02962	0.08957	-0.01802	0.16589	-0.01160	0.18852
226.72414	-0.12621	0.09341	0.03411	0.14980	-0.16033	0.17654
227.58621	-0.12556	0.09335	0.03795	0.14946	-0.16351	0.17621
228.44828	-0.12944	0.09367	0.03086	0.15074	-0.16029	0.17747
229.31034	-0.14312	0.09481	0.02830	0.15135	-0.17142	0.17860
230.17241	-0.15832	0.09608	0.02681	0.15177	-0.18512	0.17963
231.03448	-0.18929	0.09997	0.02093	0.15426	-0.21022	0.18382
231.89655	-0.19168	0.10022	0.02472	0.15382	-0.21640	0.18359
232.75862	-0.19948	0.10093	-0.02223	0.16131	-0.17725	0.19028
233.62069	-0.16375	0.09217	-0.03867	0.15558	-0.12508	0.18083
234.48276	-0.16727	0.09250	-0.04376	0.15652	-0.12350	0.18181
235.34483	-0.16686	0.09252	-0.03964	0.15616	-0.12722	0.18150
236.20690	-0.17143	0.09290	-0.03459	0.15562	-0.13684	0.18124
237.06897	-0.16588	0.09248	-0.03556	0.15606	-0.13032	0.18140
237.93103	-0.16035	0.09207	-0.03569	0.15635	-0.12466	0.18145
238.79310	-0.15940	0.09205	-0.03594	0.15663	-0.12345	0.18168
239.65517	-0.15117	0.09145	-0.02643	0.15557	-0.12474	0.18046
240.51724	-0.13467	0.08648	-0.08030	0.16116	-0.05437	0.18290
241.37931	-0.14478	0.08737	-0.08269	0.16171	-0.06209	0.18380
242.24138	-0.16455	0.09372	-0.07487	0.16439	-0.08968	0.18923
243.10345	-0.18015	0.09509	-0.07108	0.16412	-0.10906	0.18968
243.96552	-0.21673	0.09824	-0.03913	0.15930	-0.17760	0.18715
244.82759	-0.21568	0.09832	-0.03637	0.15912	-0.17931	0.18705
245.68966	-0.21837	0.09868	-0.08267	0.16580	-0.13571	0.19294
246.55172	-0.19727	0.09704	-0.09213	0.16759	-0.10514	0.19366
247.41379	-0.14608	0.08841	-0.07939	0.15738	-0.06669	0.18051
248.27586	-0.15090	0.08900	-0.10805	0.16166	-0.04285	0.18454
249.13793	-0.12437	0.08711	-0.10837	0.16246	-0.01601	0.18434
250.00000	-0.16782	0.09269	-0.11075	0.16109	-0.05707	0.18585
