Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.13104	0.17419	-0.24691	0.26121	0.11587	0.31396
0.32069	-0.17725	0.17908	-0.05789	0.25004	-0.11936	0.30756
0.34138	-0.09655	0.17161	-0.16542	0.28186	0.06887	0.32999
0.36207	-0.04075	0.16212	-0.06189	0.27047	0.02114	0.31534
0.38276	-0.04527	0.15875	-0.03938	0.25777	-0.00589	0.30273
0.40345	-0.10005	0.16972	-0.02053	0.25163	-0.07952	0.30352
0.42414	0.03311	0.14784	-0.07178	0.26489	0.10490	0.30335
0.44483	-0.05235	0.16329	-0.01828	0.25009	-0.03406	0.29868
0.46552	0.05637	0.14301	-0.06406	0.25210	0.12043	0.28984
0.48621	0.02090	0.14716	-0.01064	0.22345	0.03154	0.26755
0.50690	0.02840	0.14410	0.08695	0.20073	-0.05854	0.24710
0.52759	0.03289	0.13913	0.09420	0.19326	-0.06131	0.23813
0.54828	0.03458	0.14116	0.11670	0.18771	-0.08212	0.23486
0.56897	0.04183	0.14185	0.04748	0.19035	-0.00565	0.23739
0.58966	0.03086	0.14002	0.16431	0.15700	-0.13346	0.21036
0.61034	0.01434	0.14015	0.13447	0.15333	-0.12013	0.20773
0.63103	0.06275	0.13160	0.02838	0.14978	0.03437	0.19937
0.65172	0.07887	0.12816	0.04871	0.14618	0.03016	0.19440
0.67241	0.02117	0.13573	0.10949	0.11939	-0.08832	0.18077
0.69310	-0.06622	0.14757	0.17860	0.12993	-0.24481	0.19662
0.71379	0.01537	0.13681	0.20817	0.12521	-0.19281	0.18545
0.73448	0.02398	0.13679	0.18545	0.14311	-0.16147	0.19797
0.75517	0.04121	0.13304	0.20747	0.13553	-0.16626	0.18992
0.77586	0.03915	0.13463	0.19498	0.13772	-0.15583	0.19260
0.79655	0.00959	0.13788	0.12519	0.16418	-0.11560	0.21440
0.81724	0.01202	0.13579	0.12923	0.16163	-0.11721	0.21110
0.83793	0.05029	0.12525	0.17391	0.15456	-0.12362	0.19894
0.85862	0.02796	0.12612	0.19259	0.15073	-0.16463	0.19654
0.87931	0.04684	0.12000	0.08221	0.17609	-0.03537	0.21309
0.90000	0.01833	0.10688	0.07078	0.15012	-0.05244	0.18428
