Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.04101	0.04821	0.02675	0.07046	-0.06775	0.08538
0.32069	-0.03422	0.04746	0.04049	0.06748	-0.07471	0.08249
0.34138	-0.07241	0.05025	0.06797	0.06618	-0.14037	0.08309
0.36207	-0.09300	0.05161	0.08459	0.06802	-0.17759	0.08538
0.38276	-0.10075	0.05105	0.07970	0.06724	-0.18045	0.08442
0.40345	-0.08445	0.05034	0.06798	0.06610	-0.15244	0.08309
0.42414	-0.06233	0.04926	0.06663	0.06502	-0.12897	0.08158
0.44483	-0.03428	0.04788	0.07703	0.06741	-0.11131	0.08269
0.46552	-0.04170	0.04737	0.07132	0.06617	-0.11301	0.08138
0.48621	-0.05052	0.04757	0.04000	0.07161	-0.09052	0.08597
0.50690	-0.03056	0.04647	0.01359	0.07303	-0.04415	0.08656
0.52759	-0.03843	0.04608	0.01920	0.07067	-0.05763	0.08437
0.54828	-0.02843	0.04554	0.00258	0.07126	-0.03102	0.08457
0.56897	-0.01003	0.04458	-0.00951	0.07248	-0.00052	0.08509
0.58966	0.00452	0.04378	-0.04377	0.07523	0.04828	0.08704
0.61034	0.01335	0.04184	-0.02518	0.07033	0.03853	0.08183
0.63103	-0.00766	0.04277	-0.03564	0.06932	0.02798	0.08145
0.65172	-0.03543	0.04390	-0.07097	0.07186	0.03553	0.08421
0.67241	-0.01131	0.04244	-0.08538	0.07281	0.07407	0.08427
0.69310	-0.01038	0.04172	-0.09459	0.07098	0.08421	0.08234
0.71379	-0.00446	0.04133	-0.08250	0.06878	0.07804	0.08024
0.73448	0.00476	0.04089	-0.10204	0.07002	0.10679	0.08109
0.75517	-0.01382	0.04098	-0.08329	0.06728	0.06947	0.07878
0.77586	-0.03312	0.04171	-0.12840	0.06777	0.09527	0.07958
0.79655	-0.02116	0.04084	-0.13794	0.06873	0.11678	0.07995
0.81724	-0.04376	0.04160	-0.09686	0.06892	0.05310	0.08050
0.83793	-0.05177	0.04088	-0.09296	0.06729	0.04119	0.07874
0.85862	-0.05202	0.04042	-0.08162	0.06589	0.02960	0.07730
0.87931	-0.05316	0.03952	-0.06902	0.06306	0.01587	0.07442
0.90000	-0.07953	0.03485	-0.10241	0.05504	0.02288	0.06514
