Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.04530	0.20573	0.06093	0.31029	-0.10623	0.37229
0.32069	-0.05912	0.20342	-0.12786	0.36431	0.06873	0.41726
0.34138	-0.04609	0.19923	-0.03432	0.36420	-0.01176	0.41513
0.36207	0.04968	0.18324	-0.01649	0.36903	0.06618	0.41201
0.38276	0.06003	0.17812	-0.00863	0.35743	0.06867	0.39935
0.40345	0.09824	0.17074	-0.08205	0.38087	0.18029	0.41739
0.42414	0.11854	0.17125	-0.21178	0.42965	0.33032	0.46252
0.44483	0.06081	0.17836	-0.04445	0.36848	0.10526	0.40938
0.46552	0.12234	0.16713	-0.05340	0.35394	0.17575	0.39142
0.48621	0.06314	0.17851	-0.20065	0.34427	0.26378	0.38779
0.50690	0.02286	0.17394	-0.11578	0.29540	0.13863	0.34281
0.52759	-0.00223	0.17540	-0.08496	0.27920	0.08273	0.32973
0.54828	-0.09226	0.19532	-0.11042	0.28642	0.01816	0.34668
0.56897	-0.03204	0.18842	-0.12314	0.28869	0.09110	0.34474
0.58966	-0.13201	0.20050	0.04879	0.22697	-0.18080	0.30284
0.61034	-0.18480	0.20777	0.09246	0.20378	-0.27726	0.29102
0.63103	-0.09376	0.19209	0.08611	0.20220	-0.17987	0.27890
0.65172	-0.13426	0.19866	0.11144	0.19680	-0.24569	0.27963
0.67241	-0.15515	0.19284	0.17639	0.15001	-0.33155	0.24431
0.69310	-0.21418	0.19980	0.15571	0.15199	-0.36989	0.25104
0.71379	-0.17671	0.20660	0.15567	0.18040	-0.33238	0.27427
0.73448	-0.09165	0.19231	0.06484	0.22177	-0.15649	0.29354
0.75517	-0.15003	0.20093	0.04152	0.22254	-0.19155	0.29983
0.77586	-0.07861	0.18852	0.02574	0.22678	-0.10435	0.29490
0.79655	-0.19945	0.20916	0.18925	0.23365	-0.38870	0.31359
0.81724	-0.09466	0.18788	0.20514	0.22789	-0.29980	0.29535
0.83793	-0.06522	0.16886	0.15920	0.21651	-0.22442	0.27457
0.85862	-0.08036	0.16730	0.18354	0.18346	-0.26390	0.24829
0.87931	0.04313	0.14270	0.26265	0.18507	-0.21952	0.23370
0.90000	-0.02138	0.13102	0.11757	0.18643	-0.13895	0.22786
