Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.06582	0.03642	-0.03545	0.05468	-0.03037	0.06570
0.32069	-0.05742	0.03626	-0.01393	0.05341	-0.04350	0.06456
0.34138	-0.04557	0.03561	-0.01976	0.05246	-0.02582	0.06340
0.36207	-0.04942	0.03653	-0.00739	0.05260	-0.04203	0.06404
0.38276	-0.03331	0.03549	-0.02865	0.05051	-0.00467	0.06173
0.40345	-0.04221	0.03611	0.00280	0.04391	-0.04501	0.05685
0.42414	-0.03900	0.03630	0.01567	0.04555	-0.05467	0.05825
0.44483	-0.03930	0.03716	0.04722	0.04949	-0.08652	0.06188
0.46552	-0.02596	0.03598	0.04331	0.04958	-0.06926	0.06126
0.48621	-0.01067	0.03542	0.03605	0.04820	-0.04671	0.05981
0.50690	0.00038	0.03326	0.01010	0.04977	-0.00972	0.05986
0.52759	0.00470	0.03249	0.00789	0.05060	-0.00318	0.06013
0.54828	-0.00455	0.03302	0.00604	0.05041	-0.01059	0.06026
0.56897	-0.00082	0.03289	-0.01154	0.05224	0.01072	0.06173
0.58966	-0.00705	0.03332	-0.03719	0.05380	0.03014	0.06328
0.61034	-0.01957	0.03233	-0.02997	0.05155	0.01040	0.06085
0.63103	-0.01483	0.03241	-0.02877	0.05292	0.01393	0.06205
0.65172	-0.00811	0.03208	-0.02824	0.05470	0.02013	0.06341
0.67241	-0.01121	0.03102	-0.04960	0.05434	0.03838	0.06257
0.69310	-0.01739	0.03056	-0.04418	0.05213	0.02679	0.06043
0.71379	-0.02316	0.03201	-0.03229	0.05050	0.00914	0.05979
0.73448	-0.03719	0.03248	-0.03904	0.04941	0.00185	0.05913
0.75517	-0.03616	0.03191	-0.04140	0.04765	0.00524	0.05735
0.77586	-0.03489	0.03174	-0.03527	0.04927	0.00038	0.05860
0.79655	-0.03915	0.03183	-0.01130	0.04988	-0.02784	0.05917
0.81724	-0.03040	0.03146	-0.00247	0.04881	-0.02793	0.05807
0.83793	-0.04729	0.03006	-0.00770	0.04604	-0.03959	0.05498
0.85862	-0.03825	0.02948	-0.01248	0.04596	-0.02577	0.05460
0.87931	-0.02842	0.02866	-0.02606	0.04562	-0.00236	0.05388
0.90000	-0.01784	0.02470	-0.01492	0.03990	-0.00292	0.04693
