Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.00077	0.01469	-0.01113	0.01921	0.01037	0.02418
225.86207	-0.00003	0.01472	-0.01052	0.01932	0.01048	0.02429
226.72414	-0.00081	0.01410	-0.00783	0.01857	0.00702	0.02332
227.58621	0.00157	0.01412	-0.01040	0.01877	0.01197	0.02348
228.44828	-0.00087	0.01420	-0.00989	0.01891	0.00902	0.02365
229.31034	0.00104	0.01423	-0.01113	0.01909	0.01218	0.02381
230.17241	0.00135	0.01429	-0.01196	0.01928	0.01331	0.02399
231.03448	0.00450	0.01449	-0.01743	0.01926	0.02193	0.02410
231.89655	0.00120	0.01462	-0.01747	0.01946	0.01867	0.02434
232.75862	0.00369	0.01467	-0.01439	0.01965	0.01808	0.02452
233.62069	0.00175	0.01394	-0.01881	0.01878	0.02056	0.02339
234.48276	-0.00117	0.01409	-0.01817	0.01897	0.01700	0.02362
235.34483	0.00086	0.01417	-0.01380	0.01919	0.01466	0.02385
236.20690	0.00044	0.01430	-0.01293	0.01947	0.01337	0.02416
237.06897	0.00181	0.01444	-0.01818	0.01992	0.01999	0.02460
237.93103	0.00402	0.01459	-0.01641	0.02031	0.02043	0.02501
238.79310	0.00010	0.01486	-0.01757	0.02082	0.01767	0.02558
239.65517	0.00324	0.01505	-0.01532	0.02126	0.01856	0.02605
240.51724	-0.00111	0.01480	-0.01823	0.02106	0.01712	0.02574
241.37931	0.00137	0.01509	-0.01681	0.02161	0.01818	0.02635
242.24138	0.00654	0.01597	-0.01100	0.02263	0.01754	0.02770
243.10345	0.00670	0.01642	-0.01579	0.02355	0.02249	0.02871
243.96552	0.00348	0.01703	-0.01593	0.02448	0.01941	0.02982
244.82759	0.00611	0.01768	-0.00652	0.02544	0.01264	0.03098
245.68966	0.00909	0.01850	-0.00700	0.02666	0.01609	0.03245
246.55172	0.01648	0.01942	-0.01435	0.02866	0.03082	0.03461
247.41379	0.02122	0.01972	-0.03895	0.03017	0.06017	0.03604
248.27586	0.04153	0.02096	-0.03101	0.03251	0.07254	0.03868
249.13793	0.03657	0.02351	-0.00532	0.03588	0.04189	0.04289
250.00000	0.02696	0.03372	0.06042	0.04861	-0.03346	0.05916
