Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.03261	0.23980	0.12685	0.31492	-0.15946	0.39583
225.86207	-0.02453	0.23621	0.13757	0.31124	-0.16210	0.39073
226.72414	-0.00563	0.21974	0.20391	0.28375	-0.20954	0.35889
227.58621	0.00553	0.21594	0.15431	0.30249	-0.14877	0.37166
228.44828	0.00553	0.21594	0.09665	0.32492	-0.09112	0.39013
229.31034	-0.00137	0.21577	0.09181	0.32839	-0.09318	0.39294
230.17241	0.04667	0.20229	0.09306	0.32808	-0.04639	0.38543
231.03448	-0.09364	0.22412	0.23412	0.30287	-0.32776	0.37677
231.89655	-0.08187	0.21942	0.21967	0.31018	-0.30154	0.37994
232.75862	-0.13956	0.22829	0.26727	0.29268	-0.40683	0.37119
233.62069	-0.09954	0.20787	0.20373	0.28742	-0.30327	0.35471
234.48276	-0.09893	0.20707	0.23403	0.27757	-0.33296	0.34630
235.34483	-0.04128	0.19403	0.21047	0.28903	-0.25175	0.34811
236.20690	-0.02326	0.18984	0.20203	0.29494	-0.22529	0.35075
237.06897	-0.00592	0.18487	0.11497	0.33406	-0.12089	0.38180
237.93103	0.08916	0.16586	0.04780	0.36860	0.04137	0.40420
238.79310	0.07269	0.16760	0.34297	0.26185	-0.27028	0.31089
239.65517	0.02516	0.17414	0.34982	0.26010	-0.32466	0.31301
240.51724	-0.00877	0.17063	0.35296	0.24177	-0.36174	0.29592
241.37931	0.01852	0.16543	0.36256	0.23901	-0.34404	0.29067
242.24138	-0.01881	0.17432	0.21111	0.36021	-0.22993	0.40017
243.10345	-0.07686	0.18451	0.31309	0.32142	-0.38995	0.37061
243.96552	-0.06811	0.18400	0.34226	0.31354	-0.41037	0.36354
244.82759	-0.04748	0.18167	0.41255	0.28949	-0.46002	0.34177
245.68966	-0.08522	0.18992	0.42758	0.28748	-0.51280	0.34455
246.55172	-0.15676	0.20784	0.43104	0.29657	-0.58780	0.36215
247.41379	-0.32051	0.24526	0.41636	0.31219	-0.73688	0.39701
248.27586	-0.51083	0.29626	0.42592	0.32769	-0.93675	0.44176
249.13793	-0.55936	0.34399	0.33071	0.39434	-0.89007	0.52329
250.00000	-0.90480	0.54851	0.18079	0.36581	-1.08559	0.65930
