Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.05994	0.06262	-0.03267	0.07617	-0.02728	0.09861
0.32069	-0.04532	0.06073	-0.06977	0.07659	0.02445	0.09774
0.34138	-0.04015	0.06014	-0.09335	0.07747	0.05320	0.09808
0.36207	-0.03075	0.05952	-0.08708	0.08047	0.05633	0.10009
0.38276	-0.03774	0.05896	-0.07489	0.07816	0.03716	0.09790
0.40345	-0.00110	0.05646	-0.07128	0.07549	0.07019	0.09427
0.42414	0.00456	0.05559	-0.03331	0.07560	0.03787	0.09384
0.44483	0.01667	0.05456	-0.01587	0.07482	0.03254	0.09260
0.46552	-0.00606	0.05445	0.01957	0.07119	-0.02563	0.08963
0.48621	0.00387	0.05321	0.00419	0.07328	-0.00032	0.09055
0.50690	0.00026	0.05274	-0.02262	0.07490	0.02288	0.09161
0.52759	-0.00294	0.05175	-0.01663	0.07095	0.01369	0.08782
0.54828	-0.01253	0.05134	0.01100	0.06782	-0.02352	0.08506
0.56897	0.00221	0.04949	0.00666	0.06822	-0.00445	0.08428
0.58966	-0.02900	0.05010	0.00925	0.06656	-0.03825	0.08331
0.61034	-0.05844	0.04952	-0.00877	0.06427	-0.04966	0.08114
0.63103	-0.03661	0.04763	-0.03359	0.06466	-0.00302	0.08031
0.65172	-0.03392	0.04675	-0.03043	0.06321	-0.00349	0.07862
0.67241	-0.05259	0.04682	-0.03832	0.06173	-0.01427	0.07748
0.69310	-0.03171	0.04426	-0.04761	0.05994	0.01590	0.07451
0.71379	-0.03184	0.04317	-0.07240	0.05924	0.04056	0.07330
0.73448	-0.03014	0.04193	-0.09744	0.06174	0.06730	0.07463
0.75517	-0.02431	0.04040	-0.09097	0.06015	0.06665	0.07246
0.77586	-0.02318	0.03920	-0.06315	0.05792	0.03997	0.06994
0.79655	-0.02884	0.03828	-0.02905	0.05465	0.00021	0.06672
0.81724	-0.02196	0.03679	-0.05621	0.05441	0.03425	0.06568
0.83793	-0.00591	0.03501	-0.04867	0.05293	0.04276	0.06346
0.85862	-0.01522	0.03411	-0.05029	0.05158	0.03507	0.06184
0.87931	-0.00841	0.03279	-0.02365	0.04888	0.01523	0.05886
0.90000	-0.00368	0.03109	-0.03393	0.04757	0.03025	0.05683
