Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.32367	0.25689	0.47510	0.28962	-0.15143	0.38714
0.32069	0.19565	0.30061	0.49434	0.27271	-0.29869	0.40588
0.34138	0.27759	0.26262	0.48598	0.26765	-0.20839	0.37497
0.36207	0.38937	0.21874	0.49198	0.26012	-0.10262	0.33987
0.38276	0.39611	0.20874	0.55165	0.22678	-0.15554	0.30822
0.40345	0.21317	0.25611	0.51454	0.23942	-0.30137	0.35059
0.42414	0.20312	0.24730	0.50278	0.23652	-0.29965	0.34220
0.44483	0.19158	0.24776	0.52381	0.21711	-0.33224	0.32943
0.46552	0.22535	0.22957	0.23555	0.44268	-0.01020	0.49866
0.48621	0.36372	0.18210	0.19608	0.44868	0.16764	0.48423
0.50690	0.29417	0.19735	0.08582	0.49518	0.20836	0.53306
0.52759	0.26136	0.19959	0.11346	0.46954	0.14791	0.51020
0.54828	0.31319	0.18010	0.13212	0.44637	0.18107	0.48134
0.56897	0.35502	0.16462	-0.01176	0.49511	0.36678	0.52176
0.58966	0.31946	0.16867	-0.32243	0.65478	0.64190	0.67616
0.61034	0.36577	0.15118	-0.31448	0.61474	0.68025	0.63306
0.63103	0.37727	0.14370	-0.56399	0.70856	0.94126	0.72299
0.65172	0.26334	0.16432	-0.60260	0.69698	0.86594	0.71609
0.67241	0.29952	0.15076	-0.48885	0.62603	0.78837	0.64392
0.69310	0.23127	0.16118	-0.50872	0.60925	0.73999	0.63021
0.71379	0.23694	0.15731	-0.49092	0.58160	0.72786	0.60250
0.73448	0.15789	0.16735	-0.00385	0.38113	0.16174	0.41625
0.75517	0.09946	0.17349	-0.02844	0.37219	0.12790	0.41064
0.77586	0.04452	0.17747	0.16540	0.32779	-0.12088	0.37275
0.79655	0.00146	0.17669	0.18782	0.30445	-0.18636	0.35201
0.81724	-0.01888	0.17533	-0.05260	0.39401	0.03372	0.43125
0.83793	0.01338	0.16311	0.01336	0.35058	0.00002	0.38666
0.85862	-0.04348	0.16477	0.08790	0.32151	-0.13138	0.36127
0.87931	-0.01599	0.15378	0.25155	0.25043	-0.26754	0.29388
0.90000	-0.06359	0.15174	0.11690	0.27492	-0.18049	0.31402
