Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.02041	0.01874	-0.01612	0.02435	-0.00428	0.03073
0.32069	-0.00729	0.01846	-0.01583	0.02442	0.00854	0.03061
0.34138	-0.01175	0.01801	-0.01834	0.02423	0.00659	0.03019
0.36207	-0.01476	0.01834	-0.01667	0.02521	0.00191	0.03118
0.38276	-0.01400	0.01816	-0.00988	0.02493	-0.00412	0.03084
0.40345	-0.00861	0.01831	-0.00474	0.02552	-0.00387	0.03141
0.42414	-0.00450	0.01838	-0.02063	0.02639	0.01613	0.03216
0.44483	-0.00572	0.01867	-0.02074	0.02754	0.01502	0.03327
0.46552	-0.00800	0.01844	-0.02954	0.02707	0.02154	0.03275
0.48621	-0.01033	0.01848	-0.02550	0.02751	0.01517	0.03314
0.50690	-0.00141	0.01718	-0.03113	0.02541	0.02972	0.03068
0.52759	0.00307	0.01677	-0.02444	0.02486	0.02751	0.02999
0.54828	-0.00524	0.01684	-0.02210	0.02461	0.01686	0.02982
0.56897	-0.01307	0.01682	-0.01281	0.02429	-0.00026	0.02955
0.58966	-0.01481	0.01668	-0.00294	0.02363	-0.01187	0.02893
0.61034	-0.01060	0.01590	-0.00523	0.02251	-0.00537	0.02756
0.63103	-0.00522	0.01564	-0.00285	0.02260	-0.00237	0.02748
0.65172	-0.00278	0.01538	0.00688	0.02200	-0.00967	0.02684
0.67241	-0.00944	0.01467	0.00766	0.02131	-0.01710	0.02587
0.69310	-0.01187	0.01430	0.01161	0.02084	-0.02348	0.02527
0.71379	-0.00403	0.01446	0.00418	0.02182	-0.00821	0.02618
0.73448	-0.01107	0.01424	0.00346	0.02147	-0.01453	0.02576
0.75517	-0.01108	0.01378	-0.00196	0.02094	-0.00912	0.02507
0.77586	-0.00775	0.01338	-0.00027	0.02061	-0.00748	0.02458
0.79655	-0.01103	0.01307	-0.00079	0.01996	-0.01025	0.02385
0.81724	-0.01260	0.01271	0.00546	0.01945	-0.01806	0.02324
0.83793	-0.01134	0.01169	0.00525	0.01781	-0.01659	0.02131
0.85862	-0.00955	0.01131	0.00592	0.01745	-0.01547	0.02079
0.87931	-0.00857	0.01098	0.00537	0.01705	-0.01394	0.02028
0.90000	-0.00710	0.01052	0.00917	0.01653	-0.01626	0.01960
