Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	nan	nan	nan	nan	nan	nan
0.32069	nan	nan	nan	nan	nan	nan
0.34138	nan	nan	nan	nan	nan	nan
0.36207	nan	nan	nan	nan	nan	nan
0.38276	nan	nan	nan	nan	nan	nan
0.40345	nan	nan	nan	nan	nan	nan
0.42414	nan	nan	nan	nan	nan	nan
0.44483	nan	nan	nan	nan	nan	nan
0.46552	nan	nan	nan	nan	nan	nan
0.48621	-inf	nan	nan	nan	nan	nan
0.50690	-inf	nan	nan	nan	nan	nan
0.52759	-inf	nan	-0.85534	3.71068	-inf	nan
0.54828	-inf	nan	-0.92031	3.80910	-inf	nan
0.56897	-inf	nan	-1.13244	4.12469	-inf	nan
0.58966	-inf	nan	-0.84498	3.36725	-inf	nan
0.61034	-inf	nan	-0.84498	3.36725	-inf	nan
0.63103	-inf	nan	-9.59769	18.67423	-inf	nan
0.65172	-inf	nan	-4.28445	8.80049	-inf	nan
0.67241	nan	nan	-0.92404	3.25745	nan	nan
0.69310	-inf	nan	-0.51465	2.60720	-inf	nan
0.71379	nan	nan	-1.47710	4.25266	nan	nan
0.73448	nan	nan	-1.30452	3.90136	nan	nan
0.75517	nan	nan	-2.07128	5.15953	nan	nan
0.77586	nan	nan	-2.54979	5.91351	nan	nan
0.79655	nan	nan	0.16767	1.34001	nan	nan
0.81724	nan	nan	0.20807	1.21501	nan	nan
0.83793	nan	nan	0.31433	1.03897	nan	nan
0.85862	nan	nan	0.52139	0.66897	nan	nan
0.87931	nan	nan	0.63131	0.51191	nan	nan
0.90000	nan	nan	0.49069	0.65779	nan	nan
