Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	0.00203	0.02216	-0.00626	0.03050	0.00830	0.03770
225.86207	0.00423	0.02213	-0.00209	0.03051	0.00632	0.03770
226.72414	-0.00755	0.02142	-0.00688	0.02956	-0.00067	0.03651
227.58621	-0.00334	0.02136	-0.01256	0.02989	0.00923	0.03674
228.44828	-0.00551	0.02145	-0.00913	0.02999	0.00362	0.03687
229.31034	-0.00564	0.02149	-0.00842	0.03016	0.00278	0.03703
230.17241	-0.00444	0.02152	-0.00851	0.03037	0.00407	0.03722
231.03448	-0.01081	0.02197	-0.00858	0.03028	-0.00223	0.03741
231.89655	-0.01340	0.02209	-0.00956	0.03052	-0.00384	0.03768
232.75862	-0.01072	0.02213	-0.00812	0.03076	-0.00260	0.03789
233.62069	-0.00819	0.02088	-0.00571	0.02903	-0.00249	0.03576
234.48276	-0.01044	0.02104	-0.00152	0.02911	-0.00892	0.03592
235.34483	-0.01348	0.02122	0.00194	0.02938	-0.01542	0.03624
236.20690	-0.00844	0.02124	0.00395	0.02970	-0.01239	0.03651
237.06897	-0.00426	0.02133	-0.00473	0.03038	0.00047	0.03712
237.93103	-0.00443	0.02153	-0.00300	0.03089	-0.00143	0.03765
238.79310	-0.00665	0.02182	-0.00459	0.03161	-0.00207	0.03841
239.65517	-0.00639	0.02209	-0.00769	0.03232	0.00130	0.03915
240.51724	-0.01902	0.02182	-0.00277	0.03161	-0.01624	0.03841
241.37931	-0.01356	0.02209	0.00105	0.03232	-0.01461	0.03914
242.24138	-0.01890	0.02362	0.00918	0.03422	-0.02808	0.04157
243.10345	-0.01846	0.02420	0.00361	0.03564	-0.02207	0.04307
243.96552	-0.01958	0.02497	0.00800	0.03647	-0.02758	0.04419
244.82759	-0.00831	0.02560	0.02326	0.03772	-0.03157	0.04558
245.68966	-0.00296	0.02659	0.00312	0.04007	-0.00608	0.04809
246.55172	0.01264	0.02757	-0.00678	0.04267	0.01942	0.05080
247.41379	0.00760	0.02826	-0.03209	0.04488	0.03969	0.05304
248.27586	0.01564	0.03039	-0.00811	0.04791	0.02375	0.05673
249.13793	0.01000	0.03394	0.02186	0.05211	-0.01186	0.06218
250.00000	0.00697	0.04785	0.07066	0.06890	-0.06368	0.08388
