Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.01185	0.03889	-0.01242	0.05174	0.00057	0.06473
225.86207	-0.00643	0.03857	-0.01934	0.05222	0.01291	0.06492
226.72414	-0.01349	0.03703	-0.01642	0.04993	0.00293	0.06216
227.58621	-0.01228	0.03687	-0.01690	0.04998	0.00461	0.06211
228.44828	-0.02277	0.03716	-0.01829	0.05021	-0.00447	0.06247
229.31034	-0.02726	0.03725	-0.02075	0.05053	-0.00651	0.06278
230.17241	-0.03245	0.03739	-0.01536	0.05036	-0.01709	0.06272
231.03448	-0.01555	0.03708	-0.00662	0.05053	-0.00892	0.06268
231.89655	-0.01111	0.03689	-0.00535	0.05062	-0.00576	0.06264
232.75862	-0.01279	0.03693	0.00165	0.05048	-0.01444	0.06255
233.62069	0.00452	0.03419	-0.00785	0.04820	0.01238	0.05910
234.48276	0.01263	0.03392	-0.01104	0.04891	0.02368	0.05953
235.34483	0.02382	0.03357	-0.00067	0.04892	0.02449	0.05933
236.20690	0.02554	0.03356	-0.00913	0.04966	0.03466	0.05994
237.06897	0.02906	0.03351	-0.01496	0.05037	0.04403	0.06050
237.93103	0.02588	0.03374	-0.01867	0.05110	0.04454	0.06123
238.79310	0.01776	0.03418	-0.02156	0.05212	0.03933	0.06233
239.65517	0.03113	0.03392	-0.02376	0.05294	0.05489	0.06288
240.51724	0.04441	0.03241	-0.03479	0.05225	0.07919	0.06148
241.37931	0.04214	0.03281	-0.01403	0.05179	0.05617	0.06131
242.24138	0.04686	0.03438	-0.01584	0.05328	0.06270	0.06341
243.10345	0.04458	0.03494	-0.02072	0.05446	0.06531	0.06471
243.96552	0.04671	0.03545	-0.04206	0.05694	0.08877	0.06707
244.82759	0.04839	0.03617	-0.06278	0.05949	0.11117	0.06962
245.68966	0.05759	0.03691	-0.03483	0.06000	0.09242	0.07045
246.55172	0.06000	0.03826	-0.01797	0.06286	0.07796	0.07359
247.41379	0.06415	0.03817	-0.04516	0.06446	0.10931	0.07491
248.27586	0.07964	0.04002	-0.04582	0.06960	0.12546	0.08028
249.13793	0.05783	0.04498	-0.03050	0.07490	0.08834	0.08737
250.00000	0.05000	0.06269	0.00011	0.09729	0.04989	0.11574
