Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.13144	0.06269	-0.22491	0.07664	0.09347	0.09901
0.32069	-0.09525	0.05959	-0.23755	0.07544	0.14230	0.09614
0.34138	-0.06942	0.05780	-0.17567	0.07167	0.10625	0.09208
0.36207	-0.03520	0.05550	-0.21925	0.07594	0.18404	0.09406
0.38276	-0.02346	0.05363	-0.19670	0.07214	0.17324	0.08989
0.40345	-0.03467	0.05371	-0.21735	0.07263	0.18268	0.09033
0.42414	-0.02025	0.05252	-0.22400	0.07153	0.20375	0.08874
0.44483	-0.03257	0.05241	-0.25653	0.07078	0.22396	0.08807
0.46552	-0.03139	0.05089	-0.24533	0.06652	0.21394	0.08375
0.48621	-0.05292	0.05112	-0.24074	0.06485	0.18782	0.08258
0.50690	-0.09416	0.05207	-0.23181	0.06319	0.13764	0.08188
0.52759	-0.10383	0.05113	-0.19939	0.06054	0.09557	0.07925
0.54828	-0.10105	0.04977	-0.17417	0.05767	0.07312	0.07617
0.56897	-0.07260	0.04744	-0.16564	0.05720	0.09303	0.07431
0.58966	-0.08085	0.04665	-0.16239	0.05662	0.08154	0.07337
0.61034	-0.07157	0.04423	-0.13509	0.05242	0.06352	0.06859
0.63103	-0.07580	0.04359	-0.12395	0.05048	0.04815	0.06670
0.65172	-0.06315	0.04226	-0.08483	0.04823	0.02168	0.06412
0.67241	-0.08318	0.04222	-0.08721	0.04783	0.00403	0.06380
0.69310	-0.07886	0.04085	-0.07266	0.04621	-0.00620	0.06168
0.71379	-0.07464	0.03985	-0.06679	0.04555	-0.00785	0.06052
0.73448	-0.06336	0.03855	-0.09437	0.04640	0.03102	0.06033
0.75517	-0.05624	0.03720	-0.09261	0.04484	0.03637	0.05826
0.77586	-0.05650	0.03624	-0.08150	0.04335	0.02500	0.05650
0.79655	-0.04806	0.03491	-0.07454	0.04225	0.02648	0.05481
0.81724	-0.03950	0.03356	-0.07105	0.04074	0.03155	0.05278
0.83793	-0.03983	0.03240	-0.08104	0.03900	0.04121	0.05070
0.85862	-0.05674	0.03174	-0.08960	0.03790	0.03286	0.04943
0.87931	-0.05194	0.03044	-0.09500	0.03682	0.04306	0.04777
0.90000	-0.04486	0.02863	-0.08873	0.03461	0.04387	0.04492
