Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.07143	0.01785	-0.07283	0.01899	0.00141	0.02606
0.32069	-0.06585	0.01775	-0.07117	0.01899	0.00531	0.02599
0.34138	-0.05239	0.01792	-0.07143	0.02014	0.01903	0.02696
0.36207	-0.04780	0.01821	-0.06557	0.02065	0.01777	0.02753
0.38276	-0.04491	0.01809	-0.05988	0.02082	0.01497	0.02758
0.40345	-0.04443	0.01838	-0.05197	0.02136	0.00754	0.02818
0.42414	-0.03383	0.01839	-0.05831	0.02196	0.02448	0.02864
0.44483	-0.03393	0.01858	-0.05308	0.02220	0.01915	0.02895
0.46552	-0.02965	0.01826	-0.04808	0.02179	0.01843	0.02843
0.48621	-0.03243	0.01844	-0.04118	0.02206	0.00875	0.02875
0.50690	-0.03126	0.01845	-0.02376	0.02194	-0.00750	0.02866
0.52759	-0.01689	0.01780	-0.02252	0.02200	0.00563	0.02830
0.54828	-0.01516	0.01773	-0.01548	0.02201	0.00031	0.02826
0.56897	-0.01803	0.01768	-0.01457	0.02191	-0.00346	0.02815
0.58966	-0.02313	0.01765	-0.00730	0.02131	-0.01583	0.02768
0.61034	-0.02447	0.01696	-0.01072	0.02045	-0.01375	0.02657
0.63103	-0.03082	0.01696	-0.01416	0.02061	-0.01666	0.02669
0.65172	-0.02954	0.01674	-0.01673	0.02035	-0.01280	0.02635
0.67241	-0.03513	0.01660	-0.01762	0.02021	-0.01750	0.02615
0.69310	-0.03784	0.01619	-0.01233	0.01952	-0.02551	0.02536
0.71379	-0.03566	0.01586	-0.00065	0.01877	-0.03501	0.02458
0.73448	-0.03714	0.01555	-0.00115	0.01861	-0.03600	0.02426
0.75517	-0.02278	0.01482	-0.00444	0.01825	-0.01835	0.02351
0.77586	-0.01904	0.01437	-0.00462	0.01777	-0.01442	0.02286
0.79655	-0.01275	0.01391	0.01138	0.01694	-0.02413	0.02192
0.81724	-0.00626	0.01346	0.00426	0.01671	-0.01052	0.02146
0.83793	0.00284	0.01290	0.01745	0.01592	-0.01461	0.02049
0.85862	0.00034	0.01259	0.01834	0.01574	-0.01800	0.02015
0.87931	0.00798	0.01220	0.02262	0.01537	-0.01464	0.01962
0.90000	0.01804	0.01164	0.04063	0.01476	-0.02259	0.01880
