Boundary	Data 2SVJ_NonClosure	Data 2SVJ_NC_err	Background MC 2SVJ_NonClosure	Background MC 2SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.05431	0.08849	-0.04218	0.10843	-0.01213	0.13996
0.32069	-0.06015	0.08724	-0.01792	0.10479	-0.04223	0.13635
0.34138	-0.02997	0.08065	-0.01960	0.10091	-0.01037	0.12918
0.36207	-0.03124	0.08013	-0.02752	0.10587	-0.00371	0.13277
0.38276	-0.02015	0.07773	-0.00659	0.10135	-0.01356	0.12773
0.40345	-0.02201	0.07712	0.02225	0.09960	-0.04426	0.12597
0.42414	-0.03241	0.07711	0.02231	0.09999	-0.05472	0.12627
0.44483	-0.04685	0.07802	0.03099	0.09796	-0.07785	0.12523
0.46552	-0.07639	0.07822	0.05716	0.09125	-0.13356	0.12018
0.48621	-0.07862	0.07720	0.09939	0.08611	-0.17802	0.11564
0.50690	-0.08159	0.07123	0.11882	0.07814	-0.20041	0.10574
0.52759	-0.03830	0.06646	0.07715	0.08037	-0.11546	0.10429
0.54828	0.00561	0.06225	0.04351	0.08089	-0.03789	0.10207
0.56897	0.01579	0.06064	0.02225	0.08090	-0.00647	0.10111
0.58966	0.03737	0.05788	-0.03366	0.08522	0.07104	0.10301
0.61034	0.06198	0.05407	-0.04120	0.08134	0.10318	0.09768
0.63103	0.04955	0.05374	-0.00486	0.07552	0.05441	0.09268
0.65172	0.06154	0.05201	-0.01125	0.07460	0.07280	0.09094
0.67241	0.05615	0.04942	-0.01492	0.07075	0.07107	0.08630
0.69310	0.02853	0.04949	-0.03308	0.07026	0.06161	0.08594
0.71379	0.02027	0.05144	-0.03572	0.07168	0.05599	0.08823
0.73448	0.00595	0.05119	-0.02529	0.07129	0.03124	0.08776
0.75517	-0.00147	0.05008	-0.00443	0.06772	0.00296	0.08422
0.77586	-0.00799	0.04900	-0.01177	0.06766	0.00378	0.08354
0.79655	-0.02190	0.04825	-0.01771	0.06698	-0.00420	0.08255
0.81724	-0.04000	0.04759	0.00039	0.06402	-0.04039	0.07977
0.83793	-0.02744	0.04334	0.00989	0.05754	-0.03733	0.07204
0.85862	-0.02208	0.04148	-0.04002	0.05821	0.01794	0.07148
0.87931	-0.03527	0.04054	-0.01756	0.05538	-0.01771	0.06863
0.90000	-0.02267	0.03794	-0.03613	0.05392	0.01347	0.06593
