Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.00658	0.24111	-0.21689	0.41582	0.21031	0.48067
0.32069	0.00130	0.23346	-0.22600	0.40742	0.22729	0.46957
0.34138	0.06593	0.20120	-0.10228	0.33523	0.16822	0.39097
0.36207	0.03457	0.20426	-0.13004	0.33065	0.16461	0.38866
0.38276	-0.02130	0.21051	-0.14168	0.32157	0.12038	0.38434
0.40345	0.06429	0.18485	-0.07023	0.29928	0.13451	0.35176
0.42414	0.18342	0.15798	-0.33793	0.38461	0.52135	0.41579
0.44483	0.23704	0.14389	-0.17047	0.38084	0.40751	0.40711
0.46552	0.18073	0.14905	-0.19260	0.37287	0.37332	0.40155
0.48621	0.18090	0.14563	-0.15352	0.34636	0.33441	0.37572
0.50690	0.07837	0.14982	-0.29462	0.34953	0.37299	0.38029
0.52759	0.07647	0.14623	-0.25612	0.32546	0.33259	0.35681
0.54828	0.10594	0.13773	-0.36257	0.34347	0.46852	0.37005
0.56897	0.09094	0.13662	-0.45767	0.35594	0.54861	0.38126
0.58966	0.00508	0.14394	-0.40435	0.32256	0.40942	0.35322
0.61034	0.03907	0.13291	-0.36374	0.30289	0.40281	0.33077
0.63103	-0.02035	0.13806	-0.33271	0.28458	0.31236	0.31630
0.65172	-0.02508	0.13470	-0.47614	0.30679	0.45106	0.33506
0.67241	-0.07342	0.13125	-0.33411	0.27964	0.26069	0.30891
0.69310	-0.10646	0.13182	-0.26815	0.25812	0.16169	0.28983
0.71379	-0.05693	0.12455	-0.19150	0.24451	0.13457	0.27441
0.73448	-0.04257	0.11891	-0.12927	0.22554	0.08670	0.25497
0.75517	-0.03418	0.11476	-0.08602	0.21497	0.05184	0.24369
0.77586	-0.02128	0.10993	-0.08801	0.20641	0.06674	0.23385
0.79655	-0.06349	0.11161	-0.09032	0.19831	0.02683	0.22756
0.81724	-0.12199	0.11338	-0.01762	0.17762	-0.10437	0.21072
0.83793	-0.04299	0.09769	-0.03219	0.16540	-0.01080	0.19210
0.85862	-0.08266	0.09747	-0.00379	0.15314	-0.07887	0.18152
0.87931	-0.08257	0.09292	-0.00761	0.14688	-0.07496	0.17381
0.90000	-0.10958	0.08985	-0.03172	0.15273	-0.07786	0.17720
