Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.00412	0.01718	-0.00701	0.02127	0.00288	0.02734
225.86207	-0.00369	0.01723	-0.00723	0.02142	0.00354	0.02749
226.72414	-0.00330	0.01650	-0.00338	0.02053	0.00007	0.02633
227.58621	0.00015	0.01652	-0.00544	0.02075	0.00559	0.02652
228.44828	-0.00208	0.01663	-0.00648	0.02098	0.00440	0.02677
229.31034	0.00050	0.01667	-0.00890	0.02121	0.00940	0.02698
230.17241	0.00332	0.01671	-0.00856	0.02139	0.01188	0.02715
231.03448	0.00663	0.01693	-0.01447	0.02128	0.02110	0.02719
231.89655	0.00409	0.01708	-0.01417	0.02152	0.01826	0.02748
232.75862	0.00764	0.01715	-0.01069	0.02176	0.01833	0.02771
233.62069	0.00868	0.01627	-0.01449	0.02085	0.02318	0.02645
234.48276	0.00485	0.01647	-0.01250	0.02105	0.01735	0.02673
235.34483	0.00614	0.01660	-0.00852	0.02133	0.01466	0.02703
236.20690	0.00391	0.01682	-0.00742	0.02171	0.01133	0.02747
237.06897	0.00143	0.01708	-0.01458	0.02227	0.01601	0.02806
237.93103	0.00543	0.01725	-0.01045	0.02269	0.01588	0.02850
238.79310	0.00172	0.01759	-0.00758	0.02323	0.00930	0.02914
239.65517	0.00527	0.01787	-0.00642	0.02378	0.01169	0.02975
240.51724	0.00487	0.01753	-0.01261	0.02372	0.01749	0.02949
241.37931	0.00529	0.01796	-0.01131	0.02434	0.01660	0.03025
242.24138	0.01504	0.01895	-0.01076	0.02565	0.02580	0.03189
243.10345	0.01451	0.01955	-0.01778	0.02681	0.03229	0.03318
243.96552	0.01309	0.02032	-0.01307	0.02779	0.02615	0.03443
244.82759	0.01392	0.02121	-0.00665	0.02900	0.02058	0.03593
245.68966	0.01281	0.02240	-0.00026	0.03038	0.01307	0.03775
246.55172	0.02161	0.02359	-0.00782	0.03273	0.02943	0.04034
247.41379	0.02815	0.02407	-0.02635	0.03454	0.05450	0.04210
248.27586	0.05202	0.02560	-0.02192	0.03755	0.07394	0.04545
249.13793	0.05887	0.02838	0.00113	0.04193	0.05774	0.05063
250.00000	0.04712	0.04071	0.04119	0.05792	0.00593	0.07079
