Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.26956	0.30473	0.48929	0.28120	-0.75885	0.41465
225.86207	-0.22046	0.28867	0.48184	0.28386	-0.70230	0.40485
226.72414	-0.19339	0.26975	0.26617	0.44869	-0.45956	0.52353
227.58621	-0.14717	0.25157	0.24206	0.45326	-0.38923	0.51839
228.44828	-0.09608	0.23599	0.22012	0.45735	-0.31621	0.51464
229.31034	-0.09608	0.23599	0.20950	0.45729	-0.30558	0.51459
230.17241	-0.08712	0.23256	0.20347	0.45626	-0.29060	0.51211
231.03448	0.06342	0.20143	0.08425	0.50810	-0.02082	0.54657
231.89655	0.04359	0.20319	0.08588	0.50353	-0.04230	0.54298
232.75862	0.02426	0.20492	0.08923	0.49728	-0.06497	0.53785
233.62069	0.00034	0.19300	0.09038	0.45130	-0.09004	0.49083
234.48276	0.00937	0.18935	0.07029	0.45095	-0.06092	0.48910
235.34483	0.01434	0.18595	0.05868	0.45204	-0.04434	0.48879
236.20690	0.05625	0.17666	0.03760	0.45867	0.01865	0.49152
237.06897	0.03478	0.17719	0.00676	0.46495	0.02802	0.49757
237.93103	0.05288	0.17201	0.03758	0.44260	0.01531	0.47485
238.79310	0.08313	0.16318	0.07817	0.41678	0.00496	0.44759
239.65517	0.03779	0.16954	0.07866	0.41249	-0.04087	0.44598
240.51724	0.03908	0.16041	-0.21682	0.53332	0.25590	0.55693
241.37931	-0.03252	0.17134	-0.16258	0.49994	0.13006	0.52848
242.24138	0.08126	0.16287	-0.18120	0.54399	0.26246	0.56784
243.10345	0.05909	0.16621	-0.11292	0.51030	0.17201	0.53669
243.96552	0.04669	0.16788	-0.08432	0.49780	0.13101	0.52534
244.82759	0.06724	0.16442	-0.11623	0.51613	0.18347	0.54169
245.68966	0.03416	0.17122	-0.07608	0.50173	0.11024	0.53014
246.55172	0.08811	0.16284	0.03304	0.45859	0.05507	0.48665
247.41379	0.08847	0.15972	0.08880	0.30710	-0.00033	0.34615
248.27586	-0.01370	0.18379	0.06486	0.31560	-0.07856	0.36521
249.13793	0.04259	0.18635	0.18252	0.27705	-0.13993	0.33389
250.00000	-0.06511	0.27824	0.02757	0.36265	-0.09268	0.45709
