Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.30769	0.37020	-4.63740	5.47160	4.94509	5.48411
0.32069	0.43132	0.29397	-4.14324	4.91215	4.57456	4.92094
0.34138	0.39916	0.27984	-4.18187	4.68647	4.58103	4.69481
0.36207	0.19547	0.35517	-4.32684	4.65044	4.52232	4.66398
0.38276	0.24958	0.32030	-3.26381	3.66083	3.51339	3.67482
0.40345	0.32468	0.28003	-2.45015	2.91588	2.77482	2.92930
0.42414	0.41455	0.23520	-4.10054	4.07696	4.51508	4.08374
0.44483	0.30449	0.26586	-2.52896	2.78103	2.83344	2.79371
0.46552	0.29327	0.26411	-2.24497	2.50394	2.53824	2.51783
0.48621	0.16893	0.29954	-2.18420	2.35945	2.35313	2.37839
0.50690	-0.30019	0.44960	-2.43038	2.40815	2.13018	2.44976
0.52759	-0.04545	0.34513	-2.33378	2.25495	2.28833	2.28121
0.54828	-0.22934	0.39110	-0.20918	0.91239	-0.02016	0.99268
0.56897	-0.16184	0.35956	-0.65839	1.22204	0.49655	1.27384
0.58966	-0.42507	0.42430	-1.13170	1.49576	0.70663	1.55477
0.61034	-0.38679	0.39703	-0.92611	1.32244	0.53931	1.38075
0.63103	-0.47093	0.40508	-0.79605	1.18202	0.32512	1.24950
0.65172	-0.39891	0.37523	-0.88808	1.18007	0.48917	1.23830
0.67241	-0.59394	0.41936	-0.89664	1.14921	0.30270	1.22334
0.69310	-0.50551	0.38397	-0.14771	0.68998	-0.35780	0.78963
0.71379	-0.32877	0.32302	-0.40232	0.79472	0.07355	0.85786
0.73448	-0.42466	0.33744	-0.37376	0.75103	-0.05090	0.82336
0.75517	-0.43182	0.32606	-0.33771	0.70661	-0.09411	0.77821
0.77586	-0.37519	0.29936	-0.34054	0.67668	-0.03466	0.73994
0.79655	-0.47259	0.30894	-0.27557	0.60852	-0.19702	0.68245
0.81724	-0.52017	0.30483	-0.41515	0.64085	-0.10503	0.70966
0.83793	-0.46625	0.28389	-0.43216	0.62643	-0.03409	0.68776
0.85862	-0.43992	0.26724	-0.08852	0.45453	-0.35140	0.52727
0.87931	-0.28527	0.22556	0.02003	0.38620	-0.30531	0.44725
0.90000	-0.36075	0.22524	0.02578	0.36697	-0.38652	0.43058
