Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.36000	0.35134	-4.94440	5.89984	5.30440	5.91029
0.32069	0.47578	0.27859	-4.37476	5.24618	4.85054	5.25357
0.34138	0.51471	0.23428	-4.46693	5.04996	4.98163	5.05539
0.36207	0.32099	0.30722	-4.76697	5.14124	5.08796	5.15041
0.38276	0.38879	0.26867	-3.52673	3.98333	3.91552	3.99238
0.40345	0.41014	0.25305	-2.57926	3.10944	2.98940	3.11972
0.42414	0.46800	0.22165	-4.39579	4.39749	4.86379	4.40307
0.44483	0.37995	0.24577	-2.71397	2.98903	3.09392	2.99912
0.46552	0.36798	0.24426	-2.39275	2.67136	2.76074	2.68250
0.48621	0.24269	0.28133	-2.31818	2.50737	2.56087	2.52310
0.50690	-0.22857	0.43593	-2.58352	2.56371	2.35495	2.60050
0.52759	0.01888	0.33182	-2.47645	2.39271	2.49533	2.41561
0.54828	-0.20000	0.39150	-0.23234	0.96091	0.03234	1.03760
0.56897	-0.11111	0.35310	-0.69744	1.29100	0.58632	1.33842
0.58966	-0.42683	0.43720	-1.18025	1.58053	0.75342	1.63988
0.61034	-0.41026	0.41507	-0.97633	1.40251	0.56607	1.46264
0.63103	-0.49953	0.42372	-0.83219	1.24524	0.33266	1.31535
0.65172	-0.45183	0.40027	-0.96275	1.26698	0.51092	1.32870
0.67241	-0.57091	0.42613	-0.98110	1.24000	0.41019	1.31118
0.69310	-0.42575	0.37459	-0.18009	0.73027	-0.24567	0.82073
0.71379	-0.29312	0.32373	-0.43293	0.83631	0.13981	0.89678
0.73448	-0.37931	0.33612	-0.42946	0.80386	0.05015	0.87130
0.75517	-0.39307	0.32661	-0.38945	0.75474	-0.00361	0.82238
0.77586	-0.32101	0.29642	-0.38789	0.72065	0.06688	0.77923
0.79655	-0.45055	0.31438	-0.33130	0.65270	-0.11925	0.72447
0.81724	-0.46375	0.30331	-0.46040	0.68002	-0.00335	0.74460
0.83793	-0.40531	0.28090	-0.47296	0.66242	0.06765	0.71952
0.85862	-0.38810	0.26611	-0.10888	0.47547	-0.27921	0.54487
0.87931	-0.24073	0.22525	0.01061	0.40066	-0.25134	0.45964
0.90000	-0.32306	0.22645	0.01612	0.38109	-0.33918	0.44329
