Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-2.63636	4.32698	-0.42348	1.21643	-2.21289	4.49472
0.32069	-0.90909	1.81156	-0.10344	0.90646	-0.80565	2.02569
0.34138	-0.36364	1.07740	0.69987	0.32200	-1.06351	1.12449
0.36207	0.00000	0.75277	0.57910	0.42644	-0.57910	0.86517
0.38276	-0.44000	0.97783	0.32850	0.68511	-0.76850	1.19396
0.40345	-0.68000	1.12598	0.29781	0.70184	-0.97781	1.32681
0.42414	-0.33333	0.86923	-2.38352	4.00626	2.05019	4.09947
0.44483	-0.83333	0.99652	-0.24650	1.46310	-0.58684	1.77023
0.46552	-0.71429	0.90673	-0.21194	1.38796	-0.50235	1.65789
0.48621	-0.56250	0.79110	-0.24351	1.36807	-0.31899	1.58034
0.50690	-0.85830	0.88228	-0.39338	1.34683	-0.46492	1.61009
0.52759	-0.31548	0.59909	-0.38569	1.26695	0.07021	1.40145
0.54828	-0.58523	0.70139	-7.27723	7.28046	6.69201	7.31417
0.56897	-0.71123	0.73708	-10.06610	9.33237	9.35487	9.36143
0.58966	-0.93519	0.79553	-9.47856	8.61613	8.54337	8.65277
0.61034	-0.65965	0.65272	-8.60767	7.72747	7.94802	7.75499
0.63103	-0.51760	0.57471	-6.10649	5.61530	5.58890	5.64463
0.65172	-0.37760	0.51201	-5.75444	5.17430	5.37683	5.19957
0.67241	-0.13077	0.38864	-2.40052	2.68218	2.26975	2.71019
0.69310	-0.10053	0.36895	-0.09518	1.01811	-0.00535	1.08289
0.71379	0.40064	0.21414	-0.17862	1.06675	0.57926	1.08803
0.73448	0.29881	0.24043	-0.12373	0.99300	0.42254	1.02170
0.75517	0.20290	0.25551	-0.11859	0.95267	0.32149	0.98634
0.77586	-0.02503	0.30564	-0.17227	0.95358	0.14724	1.00137
0.79655	-0.03363	0.29956	-0.07432	0.82557	0.04069	0.87824
0.81724	0.00120	0.27881	-0.19607	0.85817	0.19727	0.90233
0.83793	-0.08117	0.27463	-0.22141	0.79592	0.14024	0.84197
0.85862	-0.08567	0.26538	0.15923	0.52026	-0.24490	0.58403
0.87931	-0.02103	0.23276	-0.37682	0.82712	0.35580	0.85924
0.90000	-0.02383	0.21955	-0.32322	0.75325	0.29939	0.78459
