Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-2.63636	4.32698	-0.55359	1.34509	-2.08277	4.53123
0.32069	-0.90909	1.81156	-0.18738	0.98671	-0.72171	2.06285
0.34138	-0.50000	1.19373	0.69972	0.32595	-1.19972	1.23743
0.36207	-0.09091	0.82668	0.59891	0.40925	-0.68982	0.92243
0.38276	-0.47692	1.02883	0.34711	0.67525	-0.82403	1.23063
0.40345	-0.72308	1.18549	0.32502	0.68641	-1.04810	1.36987
0.42414	-0.34615	0.90615	-2.32294	3.98069	1.97679	4.08252
0.44483	-0.72727	0.96203	-0.19769	1.43023	-0.52958	1.72368
0.46552	-0.61538	0.87172	-0.16436	1.35623	-0.45102	1.61222
0.48621	-0.46667	0.75639	-0.19846	1.34026	-0.26820	1.53897
0.50690	-0.74359	0.84158	-0.35446	1.32734	-0.38913	1.57165
0.52759	-0.22188	0.56630	-0.34760	1.24810	0.12573	1.37056
0.54828	-0.50000	0.67315	-7.39221	7.46181	6.89221	7.49211
0.56897	-0.62465	0.70989	-10.22066	9.55891	9.59601	9.58523
0.58966	-0.93350	0.81506	-9.84020	9.01030	8.90670	9.04709
0.61034	-0.64943	0.66398	-8.92346	8.07427	8.27404	8.10153
0.63103	-0.50159	0.58091	-6.34107	5.86912	5.83948	5.89780
0.65172	-0.45161	0.55350	-5.99802	5.45285	5.54640	5.48087
0.67241	-0.23810	0.43733	-2.49184	2.79498	2.25375	2.82899
0.69310	-0.19739	0.41199	-0.10049	1.03773	-0.09690	1.11652
0.71379	0.29805	0.25485	-0.20584	1.10767	0.50389	1.13661
0.73448	0.17450	0.28886	-0.14709	1.02886	0.32160	1.06864
0.75517	0.08957	0.29749	-0.14175	0.98683	0.23132	1.03070
0.77586	-0.22727	0.37598	-0.19330	0.98588	-0.03398	1.05515
0.79655	-0.25741	0.37529	-0.08864	0.84945	-0.16877	0.92866
0.81724	-0.21577	0.35002	-0.19938	0.87434	-0.01639	0.94180
0.83793	-0.23788	0.32240	-0.18082	0.79245	-0.05707	0.85553
0.85862	-0.21533	0.30600	0.19116	0.51446	-0.40650	0.59859
0.87931	-0.10492	0.26053	-0.33224	0.82097	0.22733	0.86132
0.90000	-0.06325	0.23500	-0.28752	0.75254	0.22426	0.78838
