Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.24332	0.50939	-0.85079	1.01069	0.60747	1.13179
225.86207	-0.21511	0.48018	-1.12696	1.12010	0.91185	1.21869
226.72414	-0.25850	0.47561	-1.08520	1.02401	0.82669	1.12907
227.58621	-0.25850	0.47561	-1.06734	1.01117	0.80883	1.11744
228.44828	-0.21816	0.44604	-1.28589	1.11055	1.06773	1.19678
229.31034	-0.21816	0.44604	-1.35429	1.13721	1.13613	1.22156
230.17241	-0.21816	0.44604	0.35495	0.52253	-0.57311	0.68702
231.03448	-0.15079	0.40571	0.25533	0.50649	-0.40613	0.64895
231.89655	-0.17448	0.40347	0.25101	0.49931	-0.42549	0.64195
232.75862	-0.17448	0.40347	0.24596	0.49704	-0.42044	0.64018
233.62069	-0.17012	0.37781	0.23521	0.47187	-0.40532	0.60448
234.48276	-0.17012	0.37781	0.23938	0.46694	-0.40950	0.60064
235.34483	-0.18250	0.36638	0.19775	0.48755	-0.38025	0.60986
236.20690	-0.18250	0.36638	0.20142	0.48193	-0.38392	0.60538
237.06897	-0.18250	0.36638	0.19181	0.48247	-0.37431	0.60582
237.93103	-0.18814	0.36115	0.18885	0.47796	-0.37699	0.59907
238.79310	-0.24606	0.37508	0.18510	0.47918	-0.43116	0.60852
239.65517	-0.24951	0.36949	0.16294	0.49026	-0.41246	0.61390
240.51724	-0.11945	0.31343	0.23727	0.43075	-0.35673	0.53271
241.37931	-0.11848	0.30843	0.24039	0.42263	-0.35887	0.52321
242.24138	0.00056	0.30879	0.25567	0.38700	-0.25511	0.49510
243.10345	-0.05301	0.31286	0.23676	0.39117	-0.28977	0.50089
243.96552	-0.07806	0.31458	0.28001	0.35775	-0.35807	0.47639
244.82759	-0.23889	0.34212	0.30225	0.34050	-0.54114	0.48269
245.68966	-0.24342	0.33246	-0.26471	0.75895	0.02129	0.82858
246.55172	-0.20959	0.32213	-0.28112	0.76220	0.07153	0.82748
247.41379	-0.15296	0.28619	-0.17184	0.66472	0.01887	0.72371
248.27586	-0.09610	0.27004	-0.18097	0.66120	0.08487	0.71421
249.13793	-0.09610	0.27004	-0.84969	1.03259	0.75359	1.06731
250.00000	-0.24621	0.29222	-0.91899	1.04884	0.67279	1.08878
