Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.04261	0.02052	-0.06409	0.01603	0.02147	0.02604
0.32069	-0.03846	0.02027	-0.07425	0.01612	0.03579	0.02590
0.34138	-0.03407	0.02028	-0.06257	0.01630	0.02849	0.02602
0.36207	-0.02654	0.02022	-0.06822	0.01683	0.04168	0.02631
0.38276	-0.01634	0.01970	-0.06856	0.01695	0.05222	0.02599
0.40345	-0.01625	0.01966	-0.07109	0.01709	0.05484	0.02605
0.42414	-0.02467	0.01972	-0.07402	0.01739	0.04935	0.02629
0.44483	-0.00895	0.01924	-0.05633	0.01681	0.04738	0.02554
0.46552	0.00082	0.01851	-0.03601	0.01616	0.03683	0.02457
0.48621	-0.00070	0.01822	-0.03187	0.01581	0.03117	0.02413
0.50690	0.00193	0.01792	-0.03788	0.01560	0.03981	0.02376
0.52759	-0.00536	0.01767	-0.04799	0.01552	0.04263	0.02352
0.54828	-0.00904	0.01763	-0.06035	0.01584	0.05130	0.02370
0.56897	-0.01025	0.01763	-0.06149	0.01596	0.05124	0.02378
0.58966	-0.01006	0.01766	-0.05783	0.01613	0.04777	0.02392
0.61034	-0.01540	0.01747	-0.04631	0.01569	0.03091	0.02348
0.63103	-0.01468	0.01754	-0.05148	0.01593	0.03680	0.02370
0.65172	-0.01988	0.01777	-0.05260	0.01601	0.03272	0.02392
0.67241	-0.00252	0.01760	-0.04678	0.01626	0.04426	0.02396
0.69310	-0.00695	0.01758	-0.04217	0.01614	0.03522	0.02386
0.71379	-0.02136	0.01807	-0.05404	0.01669	0.03268	0.02460
0.73448	-0.03408	0.01868	-0.08070	0.01740	0.04662	0.02553
0.75517	-0.03629	0.01875	-0.06804	0.01735	0.03175	0.02554
0.77586	-0.02446	0.01895	-0.05939	0.01810	0.03493	0.02620
0.79655	-0.02044	0.01896	-0.04002	0.01819	0.01958	0.02627
0.81724	0.00972	0.01815	-0.00200	0.01767	0.01172	0.02533
0.83793	0.00163	0.01780	0.00964	0.01722	-0.00800	0.02476
0.85862	0.01024	0.01749	0.01848	0.01710	-0.00824	0.02446
0.87931	0.01248	0.01730	0.01541	0.01707	-0.00292	0.02431
0.90000	0.02370	0.01665	0.00327	0.01694	0.02043	0.02375
