Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-inf	nan	-4.17686	7.64210	-inf	nan
0.32069	-inf	nan	-4.06138	7.47530	-inf	nan
0.34138	-2.00000	5.47723	-4.59301	8.20065	2.59301	9.86157
0.36207	0.75000	0.37500	0.02944	1.32037	0.72056	1.37259
0.38276	0.75000	0.37500	-0.13455	1.47040	0.88455	1.51747
0.40345	0.50000	0.70711	0.11077	1.07207	0.38923	1.28426
0.42414	0.58333	0.56928	-0.03329	1.16957	0.61662	1.30076
0.44483	nan	nan	-0.50433	1.91526	nan	nan
0.46552	nan	nan	-0.36468	1.71832	nan	nan
0.48621	nan	nan	-0.24445	1.53125	nan	nan
0.50690	0.53333	0.59728	-0.49876	1.50463	1.03210	1.61885
0.52759	0.80000	0.23664	-0.49543	1.40903	1.29543	1.42877
0.54828	0.79688	0.23943	-0.28128	1.18172	1.07815	1.20573
0.56897	0.79412	0.24188	-0.27357	1.17787	1.06769	1.20244
0.58966	0.67500	0.29777	-0.31413	1.18314	0.98913	1.22004
0.61034	0.16667	0.60122	-0.09192	0.96309	0.25858	1.13535
0.63103	0.16667	0.60122	-0.13013	0.91810	0.29680	1.09744
0.65172	0.16667	0.59484	0.02895	0.75835	0.13771	0.96381
0.67241	0.28889	0.44187	-1.46338	2.26304	1.75227	2.30577
0.69310	0.13333	0.52418	-1.12161	1.88258	1.25495	1.95420
0.71379	-0.66667	1.08078	-0.92695	1.65147	0.26028	1.97369
0.73448	-0.07143	0.66798	-0.92372	1.56970	0.85229	1.70592
0.75517	0.12698	0.54472	-0.66356	1.32852	0.79054	1.43586
0.77586	-0.50526	0.97606	-1.24951	1.74314	0.74425	1.99781
0.79655	-1.27500	1.52332	-1.90581	2.14474	0.63081	2.63067
0.81724	-0.75000	1.04233	-2.75337	2.65653	2.00337	2.85370
0.83793	0.13651	0.41914	-3.22567	2.73563	3.36217	2.76756
0.85862	0.14439	0.39837	-0.82513	1.48348	0.96951	1.53604
0.87931	-0.20739	0.54903	-0.63630	1.29270	0.42892	1.40446
0.90000	0.01653	0.42352	0.01625	0.72499	0.00028	0.83963
