Boundary	Data 2SVJ_NonClosure	Data 2SVJ_NC_err	Background MC 2SVJ_NonClosure	Background MC 2SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	0.00101	0.03646	-0.02068	0.06087	0.02169	0.07095
225.86207	0.00251	0.03628	-0.01905	0.06058	0.02156	0.07061
226.72414	0.00327	0.03450	-0.02222	0.05746	0.02548	0.06702
227.58621	-0.00021	0.03447	-0.02578	0.05757	0.02557	0.06710
228.44828	0.00185	0.03427	-0.02313	0.05749	0.02498	0.06693
229.31034	0.00365	0.03409	-0.02580	0.05748	0.02945	0.06683
230.17241	0.00217	0.03403	-0.02399	0.05723	0.02616	0.06658
231.03448	0.01741	0.03379	0.02225	0.05585	-0.00484	0.06527
231.89655	0.01725	0.03367	0.02744	0.05549	-0.01019	0.06491
232.75862	0.01974	0.03347	0.02125	0.05587	-0.00151	0.06513
233.62069	0.01968	0.03144	-0.00300	0.05359	0.02268	0.06213
234.48276	0.02432	0.03119	-0.00455	0.05368	0.02887	0.06209
235.34483	0.02562	0.03107	-0.00279	0.05347	0.02841	0.06184
236.20690	0.02492	0.03099	0.00028	0.05319	0.02463	0.06155
237.06897	0.02590	0.03089	-0.00444	0.05341	0.03034	0.06170
237.93103	0.03225	0.03063	-0.01100	0.05378	0.04325	0.06189
238.79310	0.03177	0.03058	-0.01260	0.05389	0.04437	0.06196
239.65517	0.02635	0.03066	-0.01305	0.05379	0.03940	0.06191
240.51724	0.02290	0.02948	-0.00282	0.05102	0.02572	0.05893
241.37931	0.02209	0.02937	-0.00966	0.05121	0.03175	0.05904
242.24138	0.01140	0.03067	-0.00876	0.05352	0.02016	0.06168
243.10345	0.01293	0.03048	-0.00692	0.05327	0.01984	0.06137
243.96552	0.00867	0.03050	-0.00478	0.05307	0.01345	0.06121
244.82759	0.00963	0.03038	-0.00444	0.05302	0.01407	0.06110
245.68966	0.01466	0.03015	-0.01471	0.05354	0.02937	0.06145
246.55172	0.01586	0.03003	-0.03065	0.05445	0.04652	0.06219
247.41379	0.00879	0.02877	-0.04104	0.05244	0.04984	0.05981
248.27586	0.01246	0.02860	-0.04178	0.05244	0.05424	0.05974
249.13793	0.01309	0.02853	-0.04434	0.05256	0.05743	0.05980
250.00000	0.01512	0.02839	-0.04738	0.05272	0.06250	0.05988
