Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.08976	0.23416	-0.12602	0.35124	0.21578	0.42214
0.32069	0.05075	0.23474	-0.04563	0.34749	0.09638	0.41935
0.34138	-0.09091	0.25349	0.03328	0.31055	-0.12419	0.40087
0.36207	-0.26374	0.28160	0.05925	0.28681	-0.32298	0.40195
0.38276	-0.20821	0.25969	0.07792	0.27017	-0.28613	0.37474
0.40345	-0.14396	0.23431	0.13390	0.23974	-0.27786	0.33523
0.42414	-0.14073	0.22516	0.12026	0.23290	-0.26099	0.32394
0.44483	-0.18142	0.22650	0.13655	0.21774	-0.31797	0.31418
0.46552	-0.09433	0.20280	0.08295	0.22166	-0.17728	0.30043
0.48621	-0.01519	0.18213	0.01034	0.23804	-0.02553	0.29972
0.50690	-0.06129	0.18333	0.13587	0.20097	-0.19716	0.27202
0.52759	-0.03235	0.17492	0.13519	0.19543	-0.16754	0.26228
0.54828	-0.00859	0.16811	0.12931	0.19355	-0.13789	0.25636
0.56897	0.00422	0.16221	0.01533	0.21685	-0.01111	0.27081
0.58966	0.01313	0.15620	-0.09438	0.22926	0.10751	0.27741
0.61034	0.03941	0.14893	-0.04010	0.21215	0.07951	0.25921
0.63103	-0.03200	0.15623	0.01315	0.20444	-0.04515	0.25730
0.65172	-0.13527	0.17028	-0.04690	0.21035	-0.08838	0.27063
0.67241	-0.06438	0.15694	-0.07739	0.21504	0.01301	0.26622
0.69310	-0.01107	0.14707	-0.10057	0.21708	0.08950	0.26221
0.71379	-0.01335	0.14531	-0.13134	0.22111	0.11799	0.26458
0.73448	-0.04066	0.14848	-0.12426	0.21623	0.08359	0.26230
0.75517	-0.10938	0.15524	-0.00332	0.18871	-0.10605	0.24436
0.77586	-0.13591	0.15700	0.04068	0.18256	-0.17659	0.24079
0.79655	-0.12470	0.15131	0.00714	0.18427	-0.13184	0.23843
0.81724	-0.14007	0.14888	0.04345	0.16962	-0.18352	0.22569
0.83793	-0.11209	0.14053	0.04408	0.16348	-0.15617	0.21558
0.85862	-0.10733	0.13666	0.10520	0.14621	-0.21252	0.20013
0.87931	-0.12352	0.13597	0.08416	0.15521	-0.20768	0.20634
0.90000	-0.05257	0.12293	0.03041	0.15679	-0.08298	0.19923
