Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.01264	0.03189	-0.01830	0.02561	0.03094	0.04090
0.32069	0.02284	0.03129	-0.01759	0.02578	0.04043	0.04054
0.34138	0.01747	0.03008	-0.00963	0.02492	0.02710	0.03906
0.36207	0.01579	0.03022	-0.01441	0.02633	0.03020	0.04009
0.38276	0.02056	0.02967	-0.02285	0.02648	0.04341	0.03977
0.40345	0.01452	0.02976	-0.03138	0.02685	0.04590	0.04008
0.42414	0.00760	0.02980	-0.03872	0.02761	0.04632	0.04062
0.44483	0.00632	0.03017	-0.03932	0.02713	0.04564	0.04057
0.46552	0.00160	0.02954	-0.04000	0.02628	0.04160	0.03954
0.48621	-0.00989	0.02938	-0.02889	0.02571	0.01900	0.03904
0.50690	-0.00107	0.02695	-0.03241	0.02398	0.03134	0.03607
0.52759	-0.01432	0.02666	-0.03531	0.02342	0.02100	0.03549
0.54828	-0.00962	0.02639	-0.04252	0.02387	0.03289	0.03558
0.56897	-0.01422	0.02650	-0.03357	0.02408	0.01935	0.03581
0.58966	-0.00826	0.02644	-0.03997	0.02448	0.03171	0.03603
0.61034	-0.00555	0.02592	-0.03965	0.02384	0.03410	0.03521
0.63103	-0.01366	0.02626	-0.03536	0.02455	0.02171	0.03595
0.65172	-0.01041	0.02632	-0.03315	0.02479	0.02274	0.03616
0.67241	-0.01848	0.02575	-0.03023	0.02414	0.01176	0.03530
0.69310	-0.02912	0.02589	-0.02557	0.02366	-0.00355	0.03507
0.71379	-0.03843	0.02764	-0.01317	0.02537	-0.02526	0.03752
0.73448	-0.02888	0.02791	-0.00218	0.02644	-0.02670	0.03845
0.75517	-0.03730	0.02823	-0.00867	0.02672	-0.02863	0.03887
0.77586	-0.04626	0.02934	-0.01141	0.02765	-0.03485	0.04032
0.79655	-0.02974	0.02909	-0.01358	0.02949	-0.01616	0.04142
0.81724	-0.00605	0.02821	0.00308	0.03051	-0.00913	0.04155
0.83793	0.00456	0.02582	0.00636	0.02805	-0.00181	0.03812
0.85862	0.00506	0.02563	-0.00063	0.02830	0.00569	0.03818
0.87931	-0.00560	0.02579	0.00123	0.02812	-0.00683	0.03815
0.90000	0.00705	0.02480	0.00578	0.02774	0.00127	0.03721
