Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.02001	0.02282	0.00645	0.04096	-0.02645	0.04689
225.86207	-0.01973	0.02277	0.00861	0.04080	-0.02834	0.04672
226.72414	-0.01309	0.02155	0.00446	0.03906	-0.01755	0.04461
227.58621	-0.01475	0.02153	0.00330	0.03907	-0.01806	0.04461
228.44828	-0.01316	0.02145	0.00684	0.03894	-0.02000	0.04446
229.31034	-0.01408	0.02143	0.00479	0.03896	-0.01888	0.04447
230.17241	-0.01716	0.02146	0.00256	0.03900	-0.01972	0.04451
231.03448	-0.00591	0.02140	0.00873	0.03835	-0.01463	0.04392
231.89655	-0.00470	0.02134	0.00990	0.03836	-0.01460	0.04390
232.75862	-0.00054	0.02121	0.01257	0.03823	-0.01311	0.04372
233.62069	-0.00219	0.02001	0.02189	0.03572	-0.02407	0.04094
234.48276	-0.00288	0.01998	0.02142	0.03572	-0.02430	0.04093
235.34483	0.00161	0.01987	0.02388	0.03564	-0.02227	0.04080
236.20690	-0.00215	0.01992	0.02080	0.03582	-0.02295	0.04098
237.06897	-0.00415	0.01994	0.02196	0.03577	-0.02611	0.04095
237.93103	-0.00699	0.01997	0.01643	0.03630	-0.02343	0.04143
238.79310	-0.00716	0.01995	0.01659	0.03629	-0.02375	0.04141
239.65517	-0.00925	0.01997	0.01433	0.03639	-0.02359	0.04151
240.51724	-0.01618	0.01928	0.00291	0.03525	-0.01909	0.04018
241.37931	-0.01093	0.01915	0.01388	0.03494	-0.02481	0.03985
242.24138	-0.00980	0.01984	0.01978	0.03602	-0.02958	0.04113
243.10345	-0.00450	0.01972	0.02170	0.03623	-0.02620	0.04125
243.96552	-0.00683	0.01975	0.01868	0.03647	-0.02551	0.04148
244.82759	-0.00860	0.01978	0.02784	0.03622	-0.03644	0.04127
245.68966	-0.00866	0.01978	0.02008	0.03664	-0.02874	0.04164
246.55172	-0.00706	0.01974	0.01029	0.03723	-0.01735	0.04214
247.41379	-0.01259	0.01894	-0.00205	0.03575	-0.01054	0.04045
248.27586	-0.01125	0.01892	-0.00710	0.03603	-0.00415	0.04070
249.13793	-0.01076	0.01892	-0.00701	0.03614	-0.00374	0.04080
250.00000	-0.01172	0.01896	-0.00795	0.03642	-0.00376	0.04106
