Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.09577	0.37370	0.00804	0.60553	-0.10381	0.71156
225.86207	-0.09577	0.37370	-0.51566	0.90178	0.41989	0.97614
226.72414	-0.05605	0.33794	-0.64353	0.91471	0.58748	0.97514
227.58621	0.00343	0.31435	-0.62654	0.89546	0.62996	0.94903
228.44828	-0.03951	0.32536	-0.67205	0.91043	0.63254	0.96682
229.31034	-0.08271	0.33643	-0.66324	0.89917	0.58053	0.96005
230.17241	-0.08271	0.33643	-0.65682	0.88688	0.57412	0.94855
231.03448	0.01910	0.33396	-0.55690	0.70738	0.57599	0.78225
231.89655	0.01910	0.33396	-0.57376	0.71158	0.59285	0.78605
232.75862	0.06111	0.31736	-0.57705	0.70847	0.63817	0.77630
233.62069	0.01015	0.28990	-0.46823	0.62051	0.47837	0.68489
234.48276	0.03827	0.27475	-0.45608	0.60378	0.49434	0.66335
235.34483	0.03827	0.27475	-0.62481	0.65771	0.66308	0.71279
236.20690	0.03827	0.27475	-0.47369	0.57994	0.51196	0.64173
237.06897	0.07209	0.26335	-0.45996	0.56548	0.53205	0.62380
237.93103	0.02992	0.27248	-0.44136	0.55043	0.47128	0.61418
238.79310	0.09420	0.25128	-0.46972	0.55638	0.56393	0.61049
239.65517	0.15114	0.23285	-0.45390	0.53946	0.60503	0.58757
240.51724	0.19060	0.20775	-0.42462	0.50887	0.61522	0.54965
241.37931	0.20783	0.19965	-0.52919	0.54687	0.73702	0.58218
242.24138	0.10957	0.22827	-0.42393	0.49620	0.53351	0.54619
243.10345	0.06356	0.22709	-0.41541	0.48103	0.47897	0.53194
243.96552	0.05279	0.22377	-0.33932	0.44911	0.39211	0.50177
244.82759	0.05279	0.22377	-0.35657	0.44597	0.40935	0.49896
245.68966	0.03830	0.22469	-0.36243	0.44278	0.40073	0.49653
246.55172	-0.00301	0.22716	-0.39970	0.45257	0.39668	0.50638
247.41379	-0.14895	0.23924	-0.28355	0.39358	0.13460	0.46059
248.27586	-0.16315	0.23861	-0.25060	0.37764	0.08745	0.44671
249.13793	-0.15638	0.23326	-0.19708	0.35671	0.04069	0.42621
250.00000	-0.13115	0.22402	-0.17315	0.34175	0.04200	0.40863
