Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	nan	nan	0.92928	0.09299	nan	nan
0.32069	0.40000	0.81976	0.92231	0.09505	-0.52231	0.82525
0.34138	0.30000	0.95026	0.90037	0.12017	-0.60037	0.95783
0.36207	0.60000	0.50200	0.63718	0.39609	-0.03718	0.63944
0.38276	0.80000	0.24378	0.61157	0.41592	0.18843	0.48210
0.40345	0.48571	0.50231	0.76446	0.20470	-0.27874	0.54242
0.42414	-0.20000	1.06207	0.72940	0.22379	-0.92940	1.08540
0.44483	-0.37143	1.17870	0.69647	0.23237	-1.06790	1.20139
0.46552	-0.42500	1.20154	0.55890	0.31748	-0.98390	1.24278
0.48621	-0.65000	1.38422	0.45920	0.38007	-1.10920	1.43545
0.50690	-0.85185	1.39539	0.30620	0.46962	-1.15806	1.47230
0.52759	-0.09091	0.77721	0.39225	0.39794	-0.48316	0.87316
0.54828	0.10714	0.62272	0.39232	0.38794	-0.28518	0.73367
0.56897	-0.62500	1.04489	0.36792	0.38749	-0.99292	1.11443
0.58966	-0.33333	0.83604	0.17912	0.47316	-0.51245	0.96064
0.61034	0.20000	0.47889	0.30902	0.38183	-0.10902	0.61248
0.63103	0.00000	0.58248	0.32104	0.36387	-0.32104	0.68680
0.65172	-0.16667	0.64595	0.26933	0.37369	-0.43600	0.74625
0.67241	0.21875	0.40532	-0.37437	0.87325	0.59312	0.96273
0.69310	0.30341	0.35694	-0.13120	0.69708	0.43460	0.78315
0.71379	0.47368	0.26203	-0.13720	0.67487	0.61089	0.72395
0.73448	0.49342	0.24443	-0.20850	0.69168	0.70192	0.73360
0.75517	0.57692	0.20262	-0.46096	0.85131	1.03788	0.87509
0.77586	0.69971	0.14075	-0.39737	0.80901	1.09708	0.82116
0.79655	0.66452	0.14973	-0.44945	0.81674	1.11397	0.83035
0.81724	0.54745	0.18691	-0.40988	0.78094	0.95734	0.80300
0.83793	0.43574	0.22120	-0.43196	0.73689	0.86770	0.76937
0.85862	0.43850	0.21296	-0.87752	0.94520	1.31603	0.96890
0.87931	0.42780	0.20936	-1.10753	1.03382	1.53533	1.05481
0.90000	0.25789	0.26109	-1.83280	1.32582	2.09070	1.35128
