Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.03683	0.16030	-0.13433	0.26252	0.17116	0.30759
0.32069	0.06013	0.15004	-0.18927	0.25343	0.24940	0.29452
0.34138	0.11272	0.13309	-0.02652	0.19807	0.13923	0.23863
0.36207	0.05860	0.13345	-0.04278	0.18478	0.10138	0.22793
0.38276	0.12290	0.11987	-0.18910	0.19919	0.31199	0.23248
0.40345	0.11071	0.11450	-0.10605	0.19106	0.21677	0.22274
0.42414	0.11507	0.10853	-0.14636	0.18648	0.26144	0.21576
0.44483	0.09289	0.10689	-0.11324	0.18462	0.20613	0.21333
0.46552	0.10897	0.10164	-0.18479	0.19454	0.29376	0.21949
0.48621	0.19123	0.08888	-0.17650	0.18894	0.36772	0.20881
0.50690	0.22187	0.08258	-0.18234	0.18126	0.40421	0.19919
0.52759	0.18333	0.08399	-0.18796	0.17399	0.37130	0.19320
0.54828	0.13628	0.08646	-0.15691	0.17460	0.29319	0.19484
0.56897	0.18859	0.07943	-0.15502	0.16996	0.34361	0.18761
0.58966	0.20436	0.07538	-0.20961	0.17727	0.41396	0.19263
0.61034	0.20672	0.07277	-0.17714	0.16805	0.38386	0.18313
0.63103	0.17649	0.07374	-0.13223	0.16066	0.30872	0.17678
0.65172	0.19529	0.07003	-0.16772	0.16434	0.36300	0.17864
0.67241	0.20058	0.06786	-0.11661	0.15482	0.31719	0.16904
0.69310	0.21348	0.06547	-0.08459	0.14663	0.29807	0.16058
0.71379	0.21893	0.06370	-0.17931	0.15936	0.39824	0.17162
0.73448	0.21041	0.06329	-0.12642	0.14991	0.33683	0.16273
0.75517	0.18639	0.06419	-0.06295	0.13795	0.24933	0.15215
0.77586	0.14445	0.06648	-0.06410	0.13538	0.20855	0.15082
0.79655	0.12254	0.06621	-0.06082	0.13206	0.18335	0.14773
0.81724	0.08518	0.06647	-0.05267	0.12606	0.13785	0.14251
0.83793	0.08768	0.06429	-0.04618	0.12345	0.13386	0.13918
0.85862	0.04066	0.06587	-0.06616	0.12289	0.10682	0.13943
0.87931	0.02349	0.06578	-0.01812	0.11558	0.04161	0.13299
0.90000	0.02188	0.06404	-0.05781	0.11538	0.07969	0.13196
