Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.16256	0.25734	-0.19068	0.29642	0.35324	0.39254
0.32069	0.22000	0.22529	-0.19073	0.28673	0.41073	0.36465
0.34138	0.21482	0.19639	-0.17394	0.25374	0.38876	0.32087
0.36207	0.14111	0.20349	-0.10598	0.23042	0.24709	0.30741
0.38276	0.10204	0.20468	-0.20445	0.24436	0.30649	0.31876
0.40345	-0.02879	0.22257	-0.06764	0.21346	0.03885	0.30838
0.42414	0.03009	0.19834	-0.11414	0.21007	0.14423	0.28891
0.44483	0.06140	0.18663	-0.02367	0.18311	0.08507	0.26146
0.46552	0.02397	0.18894	0.07633	0.19773	-0.05236	0.27349
0.48621	-0.00490	0.18489	0.03010	0.19797	-0.03500	0.27088
0.50690	-0.08386	0.18120	-0.19736	0.25127	0.11350	0.30979
0.52759	-0.01178	0.16545	-0.29198	0.28173	0.28020	0.32672
0.54828	-0.04701	0.16467	-0.19407	0.25197	0.14706	0.30101
0.56897	-0.00266	0.15224	-0.21122	0.24984	0.20856	0.29257
0.58966	-0.01328	0.14897	-0.22706	0.24561	0.21378	0.28726
0.61034	0.00222	0.14289	-0.20509	0.23303	0.20731	0.27335
0.63103	-0.00816	0.14062	-0.22365	0.23262	0.21550	0.27181
0.65172	-0.02042	0.13906	-0.17266	0.21779	0.15224	0.25840
0.67241	-0.06154	0.13468	-0.30231	0.21370	0.24077	0.25260
0.69310	-0.04989	0.13058	-0.29826	0.20757	0.24837	0.24522
0.71379	-0.11229	0.14101	-0.21608	0.21991	0.10379	0.26123
0.73448	-0.11071	0.13854	-0.28258	0.20511	0.17187	0.24752
0.75517	-0.04623	0.12843	-0.25124	0.19708	0.20500	0.23524
0.77586	0.01526	0.11853	-0.17732	0.17949	0.19259	0.21510
0.79655	0.01323	0.11470	-0.13322	0.19044	0.14645	0.22231
0.81724	-0.01994	0.11386	0.03858	0.16215	-0.05852	0.19813
0.83793	-0.08625	0.11207	0.09472	0.13674	-0.18097	0.17680
0.85862	-0.09126	0.10924	0.19104	0.12342	-0.28229	0.16482
0.87931	-0.08379	0.10587	0.15630	0.12972	-0.24009	0.16744
0.90000	-0.17944	0.11149	0.14747	0.13234	-0.32692	0.17305
