Boundary	Data 2SVJ_NonClosure	Data 2SVJ_NC_err	Background MC 2SVJ_NonClosure	Background MC 2SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.19855	0.25023	-0.15096	0.29783	0.34952	0.38900
0.32069	0.25000	0.21973	-0.15426	0.28818	0.40426	0.36239
0.34138	0.23319	0.19401	-0.14447	0.25466	0.37766	0.32014
0.36207	0.11111	0.21376	-0.10319	0.23452	0.21430	0.31732
0.38276	0.07197	0.21448	-0.20189	0.24942	0.27386	0.32896
0.40345	-0.04305	0.22899	-0.07110	0.21876	0.02805	0.31669
0.42414	0.01818	0.20383	-0.11709	0.21631	0.13528	0.29721
0.44483	0.03470	0.19430	-0.01618	0.18866	0.05089	0.27082
0.46552	0.00556	0.19496	0.08310	0.20305	-0.07755	0.28150
0.48621	-0.02674	0.19161	0.03023	0.20633	-0.05697	0.28158
0.50690	-0.11069	0.18893	-0.19844	0.26223	0.08775	0.32321
0.52759	-0.05993	0.17647	-0.30116	0.29609	0.24123	0.34470
0.54828	-0.09556	0.17546	-0.20622	0.26557	0.11067	0.31829
0.56897	-0.04564	0.16182	-0.22543	0.26363	0.17978	0.30934
0.58966	-0.05512	0.15841	-0.24387	0.26069	0.18875	0.30504
0.61034	-0.00685	0.14736	-0.21826	0.24656	0.21142	0.28724
0.63103	-0.01771	0.14498	-0.23700	0.24630	0.21928	0.28580
0.65172	-0.02702	0.14311	-0.19315	0.23244	0.16613	0.27296
0.67241	-0.07658	0.13976	-0.24770	0.22519	0.17113	0.26503
0.69310	-0.05505	0.13429	-0.25152	0.21913	0.19647	0.25700
0.71379	-0.09082	0.14112	-0.17405	0.23037	0.08323	0.27016
0.73448	-0.10906	0.14125	-0.24201	0.21920	0.13295	0.26077
0.75517	-0.05156	0.13175	-0.21895	0.21090	0.16739	0.24867
0.77586	0.03219	0.11882	-0.12567	0.19009	0.15786	0.22417
0.79655	0.04091	0.11363	-0.06570	0.19651	0.10662	0.22699
0.81724	0.00475	0.11334	0.11334	0.16303	-0.10859	0.19856
0.83793	-0.08991	0.11519	0.16927	0.13707	-0.25918	0.17904
0.85862	-0.09679	0.11253	0.22984	0.12530	-0.32663	0.16841
0.87931	-0.07081	0.10719	0.18754	0.13321	-0.25835	0.17099
0.90000	-0.18466	0.11491	0.13278	0.14063	-0.31744	0.18160
