Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	0.09020	0.14210	0.07931	0.17388	0.01089	0.22456
225.86207	0.10388	0.13839	0.07412	0.17325	0.02975	0.22174
226.72414	0.00059	0.14290	0.11439	0.15697	-0.11380	0.21227
227.58621	0.03629	0.13673	0.13017	0.15211	-0.09388	0.20453
228.44828	0.02401	0.13651	0.12404	0.15238	-0.10002	0.20458
229.31034	0.01982	0.13538	0.06367	0.16800	-0.04384	0.21576
230.17241	0.02344	0.13442	0.12964	0.16083	-0.10619	0.20961
231.03448	-0.08293	0.14541	0.12080	0.16505	-0.20373	0.21997
231.89655	-0.07059	0.14256	0.11417	0.16384	-0.18476	0.21718
232.75862	-0.05648	0.13996	0.15970	0.15570	-0.21618	0.20936
233.62069	-0.06954	0.13303	0.13655	0.15381	-0.20610	0.20336
234.48276	-0.07878	0.13303	0.14004	0.15224	-0.21883	0.20217
235.34483	-0.09607	0.13387	0.13720	0.15174	-0.23326	0.20235
236.20690	-0.09644	0.13329	0.14716	0.14834	-0.24360	0.19943
237.06897	-0.11288	0.13498	0.13945	0.14847	-0.25233	0.20066
237.93103	-0.11347	0.13355	0.14608	0.14622	-0.25955	0.19803
238.79310	-0.13781	0.13573	0.14417	0.14559	-0.28198	0.19905
239.65517	-0.14589	0.13541	0.14606	0.14371	-0.29195	0.19745
240.51724	-0.13735	0.12830	0.12150	0.13744	-0.25885	0.18801
241.37931	-0.10417	0.12334	0.12485	0.13511	-0.22902	0.18294
242.24138	-0.13018	0.12829	0.09700	0.14086	-0.22719	0.19052
243.10345	-0.19934	0.13432	0.10581	0.13821	-0.30515	0.19273
243.96552	-0.16226	0.12919	0.09681	0.13840	-0.25908	0.18932
244.82759	-0.15425	0.12631	0.03749	0.15042	-0.19174	0.19642
245.68966	-0.16138	0.12606	0.03761	0.14964	-0.19899	0.19566
246.55172	-0.15787	0.12500	0.02827	0.14921	-0.18614	0.19465
247.41379	-0.11436	0.11400	0.05444	0.13538	-0.16881	0.17699
248.27586	-0.12383	0.11399	0.03825	0.13669	-0.16208	0.17798
249.13793	-0.13294	0.11456	0.07322	0.13228	-0.20616	0.17499
250.00000	-0.13356	0.11294	0.12514	0.12756	-0.25869	0.17037
