Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.00376	0.03478	-0.01879	0.05155	0.01504	0.06219
225.86207	-0.00150	0.03457	-0.01731	0.05131	0.01581	0.06187
226.72414	-0.00452	0.03298	-0.02353	0.04861	0.01901	0.05874
227.58621	-0.00908	0.03296	-0.02640	0.04868	0.01732	0.05879
228.44828	-0.00770	0.03279	-0.02419	0.04862	0.01649	0.05864
229.31034	-0.00675	0.03264	-0.02641	0.04861	0.01966	0.05855
230.17241	-0.00690	0.03252	-0.02517	0.04841	0.01827	0.05832
231.03448	0.00379	0.03243	0.01711	0.04753	-0.01332	0.05754
231.89655	0.00372	0.03231	0.02135	0.04725	-0.01764	0.05724
232.75862	0.00900	0.03202	0.01488	0.04756	-0.00588	0.05733
233.62069	0.00587	0.03015	0.00069	0.04520	0.00518	0.05433
234.48276	0.00799	0.02998	-0.00019	0.04525	0.00818	0.05428
235.34483	0.01117	0.02980	0.00230	0.04505	0.00886	0.05401
236.20690	0.00935	0.02974	0.00582	0.04481	0.00353	0.05378
237.06897	0.01137	0.02960	0.00151	0.04499	0.00986	0.05386
237.93103	0.01735	0.02935	-0.00400	0.04525	0.02135	0.05394
238.79310	0.01540	0.02934	-0.00573	0.04533	0.02113	0.05400
239.65517	0.01067	0.02939	-0.00654	0.04527	0.01722	0.05397
240.51724	0.00430	0.02830	-0.00336	0.04299	0.00766	0.05147
241.37931	0.00606	0.02811	-0.00895	0.04315	0.01501	0.05150
242.24138	-0.01077	0.02952	-0.00965	0.04542	-0.00111	0.05416
243.10345	-0.00980	0.02933	-0.00653	0.04518	-0.00327	0.05386
243.96552	-0.01532	0.02936	-0.00498	0.04502	-0.01034	0.05375
244.82759	-0.01298	0.02919	-0.00579	0.04500	-0.00719	0.05364
245.68966	-0.00784	0.02896	-0.01826	0.04551	0.01042	0.05394
246.55172	-0.00835	0.02888	-0.03444	0.04629	0.02609	0.05456
247.41379	-0.00994	0.02750	-0.03298	0.04413	0.02305	0.05199
248.27586	-0.00783	0.02737	-0.03821	0.04423	0.03038	0.05202
249.13793	-0.00941	0.02735	-0.03900	0.04431	0.02958	0.05207
250.00000	-0.00883	0.02723	-0.04188	0.04443	0.03304	0.05211
