Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.15991	0.02797	-0.06976	0.02979	-0.09015	0.04086
0.32069	-0.15744	0.02752	-0.06569	0.02957	-0.09175	0.04039
0.34138	-0.13917	0.02684	-0.06577	0.03004	-0.07340	0.04028
0.36207	-0.11771	0.02624	-0.04973	0.02993	-0.06798	0.03980
0.38276	-0.12497	0.02594	-0.04849	0.02957	-0.07648	0.03933
0.40345	-0.13112	0.02577	-0.05953	0.03041	-0.07159	0.03986
0.42414	-0.12532	0.02532	-0.06331	0.03035	-0.06200	0.03953
0.44483	-0.11782	0.02482	-0.07055	0.02998	-0.04727	0.03892
0.46552	-0.10857	0.02387	-0.06051	0.02904	-0.04806	0.03759
0.48621	-0.10718	0.02335	-0.06561	0.02889	-0.04157	0.03715
0.50690	-0.09644	0.02267	-0.07833	0.02897	-0.01811	0.03678
0.52759	-0.10284	0.02230	-0.07270	0.02812	-0.03014	0.03589
0.54828	-0.10625	0.02216	-0.07351	0.02791	-0.03274	0.03564
0.56897	-0.10242	0.02198	-0.07447	0.02819	-0.02796	0.03574
0.58966	-0.10225	0.02199	-0.07064	0.02799	-0.03162	0.03559
0.61034	-0.08730	0.02128	-0.06430	0.02707	-0.02299	0.03443
0.63103	-0.07892	0.02110	-0.05939	0.02701	-0.01953	0.03427
0.65172	-0.07198	0.02105	-0.05966	0.02752	-0.01231	0.03464
0.67241	-0.07155	0.02113	-0.04282	0.02729	-0.02873	0.03451
0.69310	-0.07900	0.02115	-0.04199	0.02697	-0.03701	0.03428
0.71379	-0.08340	0.02139	-0.05008	0.02755	-0.03332	0.03488
0.73448	-0.08215	0.02169	-0.05761	0.02812	-0.02454	0.03552
0.75517	-0.07860	0.02160	-0.04972	0.02790	-0.02888	0.03528
0.77586	-0.07151	0.02176	-0.03281	0.02810	-0.03870	0.03554
0.79655	-0.07058	0.02171	-0.02419	0.02802	-0.04639	0.03544
0.81724	-0.02203	0.02034	-0.01037	0.02691	-0.01166	0.03373
0.83793	-0.01824	0.01970	-0.00200	0.02650	-0.01623	0.03302
0.85862	-0.00361	0.01917	-0.00108	0.02610	-0.00254	0.03238
0.87931	-0.00098	0.01889	0.00313	0.02565	-0.00411	0.03186
0.90000	-0.00440	0.01842	0.00017	0.02511	-0.00457	0.03114
