Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.08051	0.06065	-0.13652	0.07993	0.05601	0.10034
0.32069	-0.10144	0.06056	-0.12858	0.07944	0.02714	0.09989
0.34138	-0.11856	0.06010	-0.13953	0.08019	0.02097	0.10021
0.36207	-0.15345	0.06091	-0.18414	0.08246	0.03069	0.10251
0.38276	-0.12619	0.05790	-0.15841	0.08039	0.03222	0.09907
0.40345	-0.11458	0.05586	-0.08007	0.07226	-0.03451	0.09134
0.42414	-0.07713	0.05280	-0.06405	0.06890	-0.01308	0.08681
0.44483	-0.05223	0.05046	-0.02402	0.06602	-0.02821	0.08309
0.46552	-0.06631	0.04971	-0.04152	0.06559	-0.02479	0.08230
0.48621	-0.07321	0.04885	-0.07488	0.06699	0.00167	0.08291
0.50690	-0.07625	0.04795	-0.08554	0.06640	0.00929	0.08190
0.52759	-0.07231	0.04677	-0.07572	0.06388	0.00341	0.07917
0.54828	-0.09022	0.04703	-0.08151	0.06409	-0.00871	0.07949
0.56897	-0.07786	0.04604	-0.09808	0.06415	0.02021	0.07896
0.58966	-0.06487	0.04507	-0.09299	0.06349	0.02812	0.07786
0.61034	-0.04564	0.04333	-0.09584	0.06200	0.05020	0.07564
0.63103	-0.05338	0.04330	-0.05602	0.05950	0.00265	0.07359
0.65172	-0.05707	0.04324	-0.07116	0.06013	0.01409	0.07406
0.67241	-0.06314	0.04344	-0.10124	0.06207	0.03811	0.07576
0.69310	-0.04757	0.04225	-0.10028	0.06173	0.05271	0.07480
0.71379	-0.04003	0.04182	-0.13206	0.06312	0.09203	0.07571
0.73448	-0.02056	0.04109	-0.10889	0.06149	0.08834	0.07395
0.75517	-0.01512	0.04051	-0.10758	0.06046	0.09246	0.07278
0.77586	-0.04507	0.04197	-0.08430	0.06034	0.03923	0.07350
0.79655	-0.02754	0.04061	-0.07166	0.05807	0.04412	0.07086
0.81724	-0.05285	0.04043	-0.04654	0.05531	-0.00631	0.06852
0.83793	-0.03713	0.03860	-0.03476	0.05232	-0.00237	0.06502
0.85862	-0.05361	0.03842	-0.02536	0.05118	-0.02825	0.06399
0.87931	-0.06976	0.03848	-0.03104	0.05148	-0.03872	0.06427
0.90000	-0.06840	0.03731	-0.01688	0.04892	-0.05152	0.06153
