Boundary	Data 3SVJ_NonClosure	Data 3SVJ_NC_err	Background MC 3SVJ_NonClosure	Background MC 3SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.33594	0.31824	-0.73698	0.70166	1.07292	0.77046
0.32069	0.13725	0.39389	-0.80351	0.69373	0.94076	0.79775
0.34138	-0.02632	0.40714	-0.57147	0.56661	0.54515	0.69772
0.36207	-0.21323	0.46200	-0.60815	0.55398	0.39493	0.72135
0.38276	-0.04974	0.38333	-0.62647	0.51825	0.57674	0.64461
0.40345	-0.08317	0.38533	-0.64216	0.51094	0.55899	0.63996
0.42414	-0.12609	0.38858	-0.48258	0.44865	0.35649	0.59353
0.44483	-0.40323	0.44932	-0.55317	0.41391	0.14995	0.61090
0.46552	-0.28262	0.39847	-0.64163	0.42045	0.35901	0.57927
0.48621	-0.23984	0.36489	-0.75563	0.45667	0.51579	0.58454
0.50690	-0.29800	0.35441	-0.34082	0.37501	0.04281	0.51598
0.52759	-0.26979	0.33884	-0.23944	0.40414	-0.03035	0.52739
0.54828	-0.43403	0.37596	-0.15030	0.36048	-0.28373	0.52086
0.56897	-0.26296	0.32560	-0.16817	0.35494	-0.09479	0.48167
0.58966	-0.20922	0.30513	-0.13508	0.34051	-0.07415	0.45722
0.61034	-0.33475	0.32898	0.03252	0.29515	-0.36727	0.44197
0.63103	-0.29071	0.31192	0.02821	0.29354	-0.31892	0.42832
0.65172	-0.33855	0.31413	0.18829	0.24623	-0.52685	0.39914
0.67241	-0.22245	0.27451	-0.00714	0.29043	-0.21532	0.39963
0.69310	-0.28614	0.28394	-0.08488	0.30338	-0.20126	0.41552
0.71379	-0.30036	0.29295	-0.10052	0.31382	-0.19984	0.42931
0.73448	-0.15465	0.25441	-0.07516	0.30057	-0.07950	0.39378
0.75517	-0.16584	0.25186	0.08958	0.24794	-0.25542	0.35342
0.77586	-0.19669	0.25574	0.14796	0.22810	-0.34465	0.34269
0.79655	-0.14737	0.23916	0.15994	0.21282	-0.30731	0.32014
0.81724	0.06178	0.18657	0.20583	0.19283	-0.14405	0.26831
0.83793	-0.05823	0.19397	0.22491	0.17606	-0.28313	0.26196
0.85862	-0.11831	0.20021	0.27432	0.15607	-0.39263	0.25386
0.87931	-0.11807	0.19419	0.23804	0.16251	-0.35610	0.25322
0.90000	-0.05222	0.17721	-0.00476	0.22795	-0.04746	0.28873
