Boundary	Data 3PSVJ_NonClosure	Data 3PSVJ_NC_err	Background MC 3PSVJ_NonClosure	Background MC 3PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	nan	nan	-1.43041	3.54594	nan	nan
225.86207	nan	nan	-1.43041	3.54594	nan	nan
226.72414	nan	nan	-0.19058	1.69086	nan	nan
227.58621	nan	nan	-0.19058	1.69086	nan	nan
228.44828	nan	nan	-0.19058	1.69086	nan	nan
229.31034	nan	nan	-0.19058	1.69086	nan	nan
230.17241	nan	nan	-0.19058	1.69086	nan	nan
231.03448	nan	nan	0.00795	1.60953	nan	nan
231.89655	nan	nan	0.00795	1.60953	nan	nan
232.75862	nan	nan	0.00795	1.60953	nan	nan
233.62069	nan	nan	0.12322	1.40262	nan	nan
234.48276	nan	nan	0.12322	1.40262	nan	nan
235.34483	nan	nan	0.12322	1.40262	nan	nan
236.20690	nan	nan	0.12322	1.40262	nan	nan
237.06897	nan	nan	0.12322	1.40262	nan	nan
237.93103	nan	nan	0.12322	1.40262	nan	nan
238.79310	nan	nan	0.12322	1.40262	nan	nan
239.65517	nan	nan	0.12322	1.40262	nan	nan
240.51724	nan	nan	-0.67899	2.40389	nan	nan
241.37931	nan	nan	-0.67899	2.40389	nan	nan
242.24138	nan	nan	-0.03063	1.28725	nan	nan
243.10345	nan	nan	0.40284	0.70778	nan	nan
243.96552	nan	nan	0.54433	0.52313	nan	nan
244.82759	nan	nan	0.54433	0.52313	nan	nan
245.68966	nan	nan	0.54433	0.52313	nan	nan
246.55172	nan	nan	0.54433	0.52313	nan	nan
247.41379	nan	nan	0.55442	0.50923	nan	nan
248.27586	nan	nan	0.18540	0.87801	nan	nan
249.13793	nan	nan	-0.15010	1.13270	nan	nan
250.00000	-1.50000	3.73609	-0.30704	1.26619	-1.19296	3.94481
