Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
225.00000	-0.03684	0.03975	-0.01578	0.07266	-0.02106	0.08282
225.86207	-0.03892	0.03969	-0.01321	0.07232	-0.02571	0.08249
226.72414	-0.04059	0.03777	-0.02259	0.07116	-0.01800	0.08057
227.58621	-0.04369	0.03777	-0.01915	0.07077	-0.02454	0.08022
228.44828	-0.04330	0.03763	-0.01768	0.07052	-0.02562	0.07993
229.31034	-0.04686	0.03766	-0.01842	0.07039	-0.02844	0.07983
230.17241	-0.05055	0.03772	-0.01858	0.07028	-0.03197	0.07976
231.03448	-0.04059	0.03764	-0.02338	0.07447	-0.01721	0.08344
231.89655	-0.03633	0.03738	-0.01425	0.07388	-0.02208	0.08280
232.75862	-0.02693	0.03695	-0.01246	0.07363	-0.01446	0.08238
233.62069	-0.03400	0.03495	-0.00636	0.06779	-0.02764	0.07627
234.48276	-0.03385	0.03486	-0.00387	0.06750	-0.02997	0.07597
235.34483	-0.03708	0.03489	-0.00442	0.06744	-0.03266	0.07593
236.20690	-0.04106	0.03497	-0.00408	0.06775	-0.03698	0.07624
237.06897	-0.04400	0.03500	-0.00351	0.06761	-0.04048	0.07614
237.93103	-0.04810	0.03508	-0.01518	0.06854	-0.03293	0.07699
238.79310	-0.04591	0.03492	-0.01157	0.06822	-0.03435	0.07664
239.65517	-0.04444	0.03477	-0.02004	0.06889	-0.02440	0.07717
240.51724	-0.04174	0.03321	-0.02718	0.06605	-0.01456	0.07393
241.37931	-0.03557	0.03290	-0.01990	0.06569	-0.01568	0.07347
242.24138	-0.04249	0.03426	-0.03240	0.06977	-0.01009	0.07773
243.10345	-0.03949	0.03406	-0.02601	0.06928	-0.01348	0.07720
243.96552	-0.03740	0.03390	-0.03884	0.07028	0.00144	0.07803
244.82759	-0.03854	0.03388	-0.02907	0.06970	-0.00946	0.07750
245.68966	-0.03470	0.03370	-0.03893	0.07059	0.00423	0.07822
246.55172	-0.03733	0.03375	-0.05788	0.07266	0.02054	0.08011
247.41379	-0.04878	0.03249	-0.02882	0.06652	-0.01996	0.07403
248.27586	-0.05057	0.03252	-0.02592	0.06639	-0.02466	0.07393
249.13793	-0.05352	0.03258	-0.01390	0.06576	-0.03962	0.07339
250.00000	-0.04634	0.03233	-0.02069	0.06653	-0.02565	0.07397
