Boundary	Data 0SVJ_NonClosure	Data 0SVJ_NC_err	Background MC 0SVJ_NonClosure	Background MC 0SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.04882	0.01917	-0.05630	0.01509	0.00748	0.02440
0.32069	-0.04590	0.01891	-0.06759	0.01521	0.02169	0.02427
0.34138	-0.04504	0.01890	-0.05672	0.01540	0.01168	0.02438
0.36207	-0.03871	0.01879	-0.06303	0.01586	0.02432	0.02459
0.38276	-0.02868	0.01828	-0.06256	0.01589	0.03388	0.02422
0.40345	-0.02837	0.01817	-0.07026	0.01631	0.04189	0.02442
0.42414	-0.03521	0.01812	-0.07455	0.01652	0.03935	0.02453
0.44483	-0.02020	0.01765	-0.05655	0.01596	0.03635	0.02380
0.46552	-0.00782	0.01693	-0.03911	0.01533	0.03129	0.02284
0.48621	-0.00612	0.01658	-0.03444	0.01498	0.02831	0.02235
0.50690	-0.00187	0.01625	-0.03979	0.01475	0.03792	0.02195
0.52759	-0.01078	0.01603	-0.04896	0.01465	0.03818	0.02172
0.54828	-0.01654	0.01601	-0.05760	0.01482	0.04106	0.02182
0.56897	-0.01735	0.01598	-0.05710	0.01490	0.03974	0.02185
0.58966	-0.01340	0.01593	-0.05454	0.01499	0.04114	0.02187
0.61034	-0.01443	0.01567	-0.04200	0.01459	0.02757	0.02141
0.63103	-0.01795	0.01577	-0.04394	0.01474	0.02598	0.02159
0.65172	-0.01876	0.01586	-0.04010	0.01473	0.02135	0.02164
0.67241	-0.00210	0.01568	-0.03105	0.01489	0.02895	0.02163
0.69310	-0.00177	0.01558	-0.02834	0.01480	0.02657	0.02149
0.71379	-0.01423	0.01594	-0.04002	0.01530	0.02579	0.02210
0.73448	-0.02329	0.01636	-0.06246	0.01596	0.03917	0.02285
0.75517	-0.02207	0.01635	-0.05272	0.01592	0.03065	0.02282
0.77586	-0.01167	0.01649	-0.04566	0.01654	0.03399	0.02335
0.79655	-0.00504	0.01639	-0.03037	0.01661	0.02533	0.02333
0.81724	0.01839	0.01576	0.00189	0.01618	0.01650	0.02258
0.83793	0.00956	0.01547	0.01480	0.01582	-0.00524	0.02212
0.85862	0.01493	0.01522	0.02197	0.01572	-0.00704	0.02188
0.87931	0.01570	0.01507	0.02085	0.01574	-0.00515	0.02179
0.90000	0.02248	0.01457	0.01150	0.01553	0.01098	0.02129
