Boundary	Data 2PSVJ_NonClosure	Data 2PSVJ_NC_err	Background MC 2PSVJ_NonClosure	Background MC 2PSVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	0.70940	0.25114	0.11735	0.62759	0.59206	0.67598
0.32069	0.77622	0.19124	0.09673	0.62121	0.67949	0.64998
0.34138	0.77311	0.16348	0.27993	0.46781	0.49318	0.49555
0.36207	0.60526	0.24065	0.35991	0.39330	0.24535	0.46109
0.38276	0.60000	0.23944	0.07464	0.56689	0.52536	0.61539
0.40345	0.61345	0.21750	0.14201	0.49148	0.47144	0.53746
0.42414	0.53333	0.24525	0.09876	0.48009	0.43457	0.53911
0.44483	0.18421	0.39538	0.09240	0.46403	0.09181	0.60963
0.46552	0.05263	0.45475	0.01713	0.48034	0.03550	0.66145
0.48621	0.21739	0.36812	0.00523	0.46471	0.21216	0.59284
0.50690	0.18600	0.37118	0.10765	0.40589	0.07835	0.55002
0.52759	-0.04000	0.45135	-0.11100	0.48392	0.07100	0.66174
0.54828	-0.20629	0.50075	0.01353	0.41769	-0.21983	0.65209
0.56897	-0.16162	0.48021	-0.00246	0.41548	-0.15916	0.63500
0.58966	-0.31250	0.51683	-0.08214	0.44003	-0.23036	0.67878
0.61034	-0.10629	0.40911	-0.25471	0.49650	0.14842	0.64333
0.63103	-0.23457	0.43762	-0.96738	0.98481	0.73281	1.07766
0.65172	-0.11828	0.38020	-0.73991	0.86099	0.62163	0.94120
0.67241	-0.02366	0.33920	-0.88058	0.92210	0.85692	0.98251
0.69310	0.15741	0.27115	-0.87010	0.89311	1.02751	0.93337
0.71379	0.13977	0.26748	-1.71977	1.33069	1.85954	1.35730
0.73448	0.30531	0.21402	-1.60333	1.28363	1.90864	1.30135
0.75517	0.26020	0.22469	-1.67275	1.27402	1.93295	1.29368
0.77586	0.27907	0.21423	-1.56249	1.20369	1.84156	1.22260
0.79655	0.32222	0.19652	-1.33446	1.07459	1.65669	1.09241
0.81724	0.32353	0.18620	-0.83396	0.82694	1.15749	0.84764
0.83793	0.30580	0.18556	-0.67704	0.73942	0.98284	0.76234
0.85862	0.32420	0.17688	-0.54296	0.66446	0.86716	0.68760
0.87931	0.26520	0.18825	-0.85415	0.79523	1.11935	0.81721
0.90000	0.18354	0.20073	-0.79881	0.72083	0.98235	0.74826
