Boundary	Data 1SVJ_NonClosure	Data 1SVJ_NC_err	Background MC 1SVJ_NonClosure	Background MC 1SVJ_NC_err	Diff(Data-MC)	Diff_er(Data-MC)r
0.30000	-0.08158	0.13011	-0.01678	0.14142	-0.06480	0.19217
0.32069	-0.07347	0.12451	-0.01509	0.13393	-0.05838	0.18286
0.34138	-0.02213	0.10849	0.00630	0.11736	-0.02843	0.15982
0.36207	-0.01997	0.10468	0.03398	0.11233	-0.05395	0.15354
0.38276	0.03390	0.09637	-0.01984	0.11909	0.05374	0.15320
0.40345	0.06315	0.09076	0.00379	0.11147	0.05936	0.14375
0.42414	0.06428	0.08759	0.03959	0.10581	0.02469	0.13736
0.44483	0.05258	0.08723	0.11749	0.09722	-0.06491	0.13062
0.46552	0.05623	0.08408	0.10087	0.09506	-0.04464	0.12691
0.48621	0.03687	0.08314	0.10233	0.09299	-0.06546	0.12473
0.50690	-0.00966	0.07939	0.08065	0.08380	-0.09031	0.11544
0.52759	-0.00615	0.07716	0.06334	0.08231	-0.06949	0.11282
0.54828	-0.01320	0.07600	0.06298	0.08077	-0.07618	0.11091
0.56897	-0.03686	0.07650	0.03407	0.08435	-0.07094	0.11388
0.58966	-0.01683	0.07399	0.03088	0.08764	-0.04771	0.11469
0.61034	0.01791	0.07005	0.04466	0.08663	-0.02676	0.11141
0.63103	0.00689	0.06972	0.02345	0.08814	-0.01656	0.11239
0.65172	-0.03280	0.07161	0.06279	0.08335	-0.09558	0.10988
0.67241	-0.04458	0.06878	0.06088	0.08118	-0.10545	0.10640
0.69310	-0.03975	0.06754	0.01265	0.08825	-0.05240	0.11113
0.71379	-0.02784	0.06908	0.00695	0.08966	-0.03479	0.11319
0.73448	-0.02561	0.06868	-0.01805	0.09295	-0.00756	0.11557
0.75517	0.00406	0.06605	-0.04567	0.09668	0.04973	0.11709
0.77586	0.02123	0.06469	-0.01381	0.09284	0.03504	0.11315
0.79655	0.04526	0.06239	-0.00786	0.10206	0.05312	0.11962
0.81724	0.01254	0.06299	-0.02528	0.10017	0.03782	0.11833
0.83793	-0.00656	0.05982	-0.02867	0.09245	0.02211	0.11012
0.85862	0.00825	0.05804	0.02273	0.08690	-0.01448	0.10450
0.87931	0.02849	0.05581	0.06889	0.08045	-0.04039	0.09791
0.90000	0.00263	0.05578	-0.01110	0.08750	0.01372	0.10376
